lemma,pos,gender,level,ipa,meaning_zh,meaning_en,example_es,example_zh,image_file,tags,exam_tags,distractor_1,distractor_2,distractor_3,copyright_note
internacional,adj,n/a,A2,,国际的,internacional,Contexto: internacional.,例句待内容组补充（internacional）。,internacional.jpg,A2|adj|日常,专四,克服,procedimiento（待校对）,森林,词库自动生成_待内容组校对
total,adj,n/a,A2,,全部的,total,Contexto: total.,例句待内容组补充（total）。,total.jpg,A2|adj|日常,专四,托尼,mayo（待校对）,科学家,词库自动生成_待内容组校对
equivocado,adj,n/a,A2,,错误,equivocado,Contexto: equivocado.,例句待内容组补充（equivocado）。,equivocado.jpg,A2|adj|日常,专四,研究所,周六,大卫,词库自动生成_待内容组校对
casado,adj,n/a,A2,,已婚,casado,Contexto: casado.,例句待内容组补充（casado）。,casado.jpg,A2|adj|日常,专四,先生。,希望,arriesgar（待校对）,词库自动生成_待内容组校对
cena,n,f,A2,,晚餐,cena,Contexto: cena.,例句待内容组补充（cena）。,cena.jpg,A2|n|日常,专四,分析,时间,madera（待校对）,词库自动生成_待内容组校对
guardia,n,f,A2,,警卫,guardia,Contexto: guardia.,例句待内容组补充（guardia）。,guardia.jpg,A2|n|日常,专四,尸体,烧伤,当前的,词库自动生成_待内容组校对
desarrollo,n,m,A2,,发展,desarrollo,Contexto: desarrollo.,例句待内容组补充（desarrollo）。,desarrollo.jpg,A2|n|日常,专四,坚持,saludar（待校对）,所有的,词库自动生成_待内容组校对
apostar,v,n/a,A2,,赌注,apostar,Contexto: apostar.,例句待内容组补充（apostar）。,apostar.jpg,A2|v|变位|日常,专四,故事,钟,ray（待校对）,词库自动生成_待内容组校对
presente,adj,n/a,A2,,展示,presente,Contexto: presente.,例句待内容组补充（presente）。,presente.jpg,A2|adj|日常,专四,seco（待校对）,脸,抓住,词库自动生成_待内容组校对
odiar,v,n/a,A2,,恨,odiar,Contexto: odiar.,例句待内容组补充（odiar）。,odiar.jpg,A2|v|变位|日常,专四,发布,斗争,要求,词库自动生成_待内容组校对
cuestión,n,f,A2,,问题,cuestión,Contexto: cuestión.,例句待内容组补充（cuestión）。,cuestión.jpg,A2|n|日常,专四,报纸,车辆,desnudo（待校对）,词库自动生成_待内容组校对
pelear,v,n/a,A2,,斗争,pelear,Contexto: pelear.,例句待内容组补充（pelear）。,pelear.jpg,A2|v|变位|日常,专四,versión（待校对）,蛋,婚姻,词库自动生成_待内容组校对
acordar,v,n/a,A2,,同意,acordar,Contexto: acordar.,例句待内容组补充（acordar）。,acordar.jpg,A2|v|变位|日常,专四,努力,发展,当前的,词库自动生成_待内容组校对
dato,n,m,A2,,事实,dato,Contexto: dato.,例句待内容组补充（dato）。,dato.jpg,A2|n|日常,专四,宣布,山,收音机,词库自动生成_待内容组校对
motivo,n,m,A2,,原因,motivo,Contexto: motivo.,例句待内容组补充（motivo）。,motivo.jpg,A2|n|日常,专四,联邦,速度,南,词库自动生成_待内容组校对
enfrentar,v,n/a,A2,,脸,enfrentar,Contexto: enfrentar.,例句待内容组补充（enfrentar）。,enfrentar.jpg,A2|v|变位|日常,专四,asistir（待校对）,萨姆,versión（待校对）,词库自动生成_待内容组校对
crimen,n,n/a,A2,,犯罪,crimen,Contexto: crimen.,例句待内容组补充（crimen）。,crimen.jpg,A2|n|日常,专四,opinar（待校对）,星期五,结果,词库自动生成_待内容组校对
flor,n,m,A2,,花,flor,Contexto: flor.,例句待内容组补充（flor）。,flor.jpg,A2|n|日常,专四,鼻子,oeste（待校对）,cabello（待校对）,词库自动生成_待内容组校对
boda,n,f,A2,,婚礼,boda,Contexto: boda.,例句待内容组补充（boda）。,boda.jpg,A2|n|日常,专四,transporte（待校对）,放弃,卡车,词库自动生成_待内容组校对
representar,v,n/a,A2,,代表,representar,Contexto: representar.,例句待内容组补充（representar）。,representar.jpg,A2|v|变位|日常,专四,包,放松,爸爸,词库自动生成_待内容组校对
unidad,n,f,A2,,单元,unidad,Contexto: unidad.,例句待内容组补充（unidad）。,unidad.jpg,A2|n|日常,专四,情人,符号,技术,词库自动生成_待内容组校对
montón,n,n/a,A2,,很多,montón,Contexto: montón.,例句待内容组补充（montón）。,montón.jpg,A2|n|日常,专四,专业的,确实,原来的,词库自动生成_待内容组校对
éxito,n,m,A2,,成功,éxito,Contexto: éxito.,例句待内容组补充（éxito）。,éxito.jpg,A2|n|日常,专四,骨,财产,宣布,词库自动生成_待内容组校对
haz,n,n/a,A2,,光束,haz,Contexto: haz.,例句待内容组补充（haz）。,haz.jpg,A2|n|日常,专四,aumento（待校对）,提出,分离,词库自动生成_待内容组校对
peligro,n,m,A2,,危险,peligro,Contexto: peligro.,例句待内容组补充（peligro）。,peligro.jpg,A2|n|日常,专四,冷静的,展示,当前的,词库自动生成_待内容组校对
golpe,n,n/a,A2,,砰,golpe,Contexto: golpe.,例句待内容组补充（golpe）。,golpe.jpg,A2|n|日常,专四,双倍的,坚持,降低,词库自动生成_待内容组校对
corto,adj,n/a,A2,,短的,corto,Contexto: corto.,例句待内容组补充（corto）。,corto.jpg,A2|adj|日常,专四,电视,命令,悬挂,词库自动生成_待内容组校对
construir,v,n/a,A2,,建造,construir,Contexto: construir.,例句待内容组补充（construir）。,construir.jpg,A2|v|变位|日常,专四,superficie（待校对）,旧的；老的,夫妻,词库自动生成_待内容组校对
mencionar,v,n/a,A2,,提到,mencionar,Contexto: mencionar.,例句待内容组补充（mencionar）。,mencionar.jpg,A2|v|变位|日常,专四,inútil（待校对）,destacar（待校对）,风格,词库自动生成_待内容组校对
revisar,v,n/a,A2,,审查,revisar,Contexto: revisar.,例句待内容组补充（revisar）。,revisar.jpg,A2|v|变位|日常,专四,bebida（待校对）,autobús（待校对）,conservar（待校对）,词库自动生成_待内容组校对
carlos,n,n/a,A2,,卡洛斯,carlos,Contexto: carlos.,例句待内容组补充（carlos）。,carlos.jpg,A2|n|日常,专四,保罗,添加,销售,词库自动生成_待内容组校对
atrapar,v,n/a,A2,,抓住,atrapar,Contexto: atrapar.,例句待内容组补充（atrapar）。,atrapar.jpg,A2|v|变位|日常,专四,clásico（待校对）,任何,巴塞罗那,词库自动生成_待内容组校对
sam,adv,n/a,A2,,萨姆,sam,Contexto: sam.,例句待内容组补充（sam）。,sam.jpg,A2|adv|日常,专四,速度,salón（待校对）,generación（待校对）,词库自动生成_待内容组校对
producto,n,m,A2,,产品,producto,Contexto: producto.,例句待内容组补充（producto）。,producto.jpg,A2|n|日常,专四,仍然,方面,没有任何,词库自动生成_待内容组校对
manejar,v,n/a,A2,,驾驶,manejar,Contexto: manejar.,例句待内容组补充（manejar）。,manejar.jpg,A2|v|变位|日常,专四,警告,附近,责任,词库自动生成_待内容组校对
carne,n,n/a,A2,,肉,carne,Contexto: carne.,例句待内容组补充（carne）。,carne.jpg,A2|n|日常,专四,taxi（待校对）,avanzar（待校对）,grito（待校对）,词库自动生成_待内容组校对
placer,n,n/a,A2,,乐趣,placer,Contexto: placer.,例句待内容组补充（placer）。,placer.jpg,A2|n|日常,专四,驾驶,财,早期的,词库自动生成_待内容组校对
ventana,n,f,A2,,窗户,ventana,Contexto: ventana.,例句待内容组补充（ventana）。,ventana.jpg,A2|n|日常,专四,bolsillo（待校对）,风景,提到,词库自动生成_待内容组校对
interesar,v,n/a,A2,,兴趣,interesar,Contexto: interesar.,例句待内容组补充（interesar）。,interesar.jpg,A2|v|变位|日常,专四,sencillo（待校对）,忍受,支持,词库自动生成_待内容组校对
despedir,v,n/a,A2,,解雇,despedir,Contexto: despedir.,例句待内容组补充（despedir）。,despedir.jpg,A2|v|变位|日常,专四,descanso（待校对）,逃跑,梯子,词库自动生成_待内容组校对
alejar,v,n/a,A2,,消除,alejar,Contexto: alejar.,例句待内容组补充（alejar）。,alejar.jpg,A2|v|变位|日常,专四,斗争,canal（待校对）,你的,词库自动生成_待内容组校对
natural,adj,n/a,A2,,自然的,natural,Contexto: natural.,例句待内容组补充（natural）。,natural.jpg,A2|adj|日常,专四,账单,territorio（待校对）,cuchillo（待校对）,词库自动生成_待内容组校对
oro,n,m,A2,,金子,oro,Contexto: oro.,例句待内容组补充（oro）。,oro.jpg,A2|n|日常,专四,责任,确实,美丽的,词库自动生成_待内容组校对
cualquiera,pron,n/a,A2,,任何,cualquiera,Contexto: cualquiera.,例句待内容组补充（cualquiera）。,cualquiera.jpg,A2|pron|日常,专四,实验室,斗争,avanzar（待校对）,词库自动生成_待内容组校对
david,n,n/a,A2,,大卫,david,Contexto: david.,例句待内容组补充（david）。,david.jpg,A2|n|日常,专四,结果,明亮的,情人,词库自动生成_待内容组校对
cometer,v,n/a,A2,,犯罪,cometer,Contexto: cometer.,例句待内容组补充（cometer）。,cometer.jpg,A2|v|变位|日常,专四,habilidad（待校对）,直接地,闻,词库自动生成_待内容组校对
huir,v,n/a,A2,,逃跑,huir,Contexto: huir.,例句待内容组补充（huir）。,huir.jpg,A2|v|变位|日常,专四,república（待校对）,criar（待校对）,明白了,词库自动生成_待内容组校对
lamento,n,m,A2,,哀叹,lamento,Contexto: lamento.,例句待内容组补充（lamento）。,lamento.jpg,A2|n|日常,专四,comportamiento（待校对）,成本,夫妻,词库自动生成_待内容组校对
informar,v,n/a,A2,,通知,informar,Contexto: informar.,例句待内容组补充（informar）。,informar.jpg,A2|v|变位|日常,专四,firme（待校对）,transformar（待校对）,contento（待校对）,词库自动生成_待内容组校对
acto,n,m,A2,,行为,acto,Contexto: acto.,例句待内容组补充（acto）。,acto.jpg,A2|n|日常,专四,次要的,sombrero（待校对）,套装,词库自动生成_待内容组校对
cárcel,n,n/a,A2,,监狱,cárcel,Contexto: cárcel.,例句待内容组补充（cárcel）。,cárcel.jpg,A2|n|日常,专四,查理,inútil（待校对）,arrancar（待校对）,词库自动生成_待内容组校对
hallar,v,n/a,A2,,寻找,hallar,Contexto: hallar.,例句待内容组补充（hallar）。,hallar.jpg,A2|v|变位|日常,专四,立即地,vaso（待校对）,问题,词库自动生成_待内容组校对
radio,n,m,A2,,收音机,radio,Contexto: radio.,例句待内容组补充（radio）。,radio.jpg,A2|n|日常,专四,pedazo（待校对）,战斗,honesto（待校对）,词库自动生成_待内容组校对
enemigo,n,m,A2,,敌人,enemigo,Contexto: enemigo.,例句待内容组补充（enemigo）。,enemigo.jpg,A2|n|日常,专四,查理,降低,最后,词库自动生成_待内容组校对
profesional,adj,n/a,A2,,专业的,profesional,Contexto: profesional.,例句待内容组补充（profesional）。,profesional.jpg,A2|adj|日常,专四,压力,跨度,诅咒,词库自动生成_待内容组校对
local,adj,n/a,A2,,当地的,local,Contexto: local.,例句待内容组补充（local）。,local.jpg,A2|adj|日常,专四,actuación（待校对）,说,风险,词库自动生成_待内容组校对
hambre,n,n/a,A2,,饥饿,hambre,Contexto: hambre.,例句待内容组补充（hambre）。,hambre.jpg,A2|n|日常,专四,著名的,电视,代表,词库自动生成_待内容组校对
departamento,n,m,A2,,部门,departamento,Contexto: departamento.,例句待内容组补充（departamento）。,departamento.jpg,A2|n|日常,专四,文档,重要性,买,词库自动生成_待内容组校对
piso,n,m,A2,,地面,piso,Contexto: piso.,例句待内容组补充（piso）。,piso.jpg,A2|n|日常,专四,监狱,包含,国际的,词库自动生成_待内容组校对
finalmente,adv,n/a,A2,,最后,finalmente,Contexto: finalmente.,例句待内容组补充（finalmente）。,finalmente.jpg,A2|adv|日常,专四,承认,屁股,环绕,词库自动生成_待内容组校对
espalda,n,f,A2,,后退,espalda,Contexto: espalda.,例句待内容组补充（espalda）。,espalda.jpg,A2|n|日常,专四,宝贵的,讨论,气氛,词库自动生成_待内容组校对
vestido,n,m,A2,,裙子,vestido,Contexto: vestido.,例句待内容组补充（vestido）。,vestido.jpg,A2|n|日常,专四,力量,联盟,ritmo（待校对）,词库自动生成_待内容组校对
completamente,adv,n/a,A2,,完全地,completamente,Contexto: completamente.,例句待内容组补充（completamente）。,completamente.jpg,A2|adv|日常,专四,实践,美国人,coincidir（待校对）,词库自动生成_待内容组校对
terrible,adj,n/a,A2,,糟糕的,terrible,Contexto: terrible.,例句待内容组补充（terrible）。,terrible.jpg,A2|adj|日常,专四,逃跑,transformar（待校对）,旅行,词库自动生成_待内容组校对
norte,n,n/a,A2,,北,norte,Contexto: norte.,例句待内容组补充（norte）。,norte.jpg,A2|n|日常,专四,imponer（待校对）,聪明的,分离,词库自动生成_待内容组校对
cerrado,adj,n/a,A2,,关闭,cerrado,Contexto: cerrado.,例句待内容组补充（cerrado）。,cerrado.jpg,A2|adj|日常,专四,区域,滋扰,entrenador（待校对）,词库自动生成_待内容组校对
aspecto,n,m,A2,,方面,aspecto,Contexto: aspecto.,例句待内容组补充（aspecto）。,aspecto.jpg,A2|n|日常,专四,conceder（待校对）,完全地,鬼,词库自动生成_待内容组校对
familiar,adj,n/a,A2,,熟悉的,familiar,Contexto: familiar.,例句待内容组补充（familiar）。,familiar.jpg,A2|adj|日常,专四,墨西哥,conservar（待校对）,圣,词库自动生成_待内容组校对
visita,n,f,A2,,访问,visita,Contexto: visita.,例句待内容组补充（visita）。,visita.jpg,A2|n|日常,专四,重要性,fotografía（待校对）,ignorar（待校对）,词库自动生成_待内容组校对
aun,adv,n/a,A2,,仍然,aun,Contexto: aun.,例句待内容组补充（aun）。,aun.jpg,A2|adv|日常,专四,国际的,干净的,transporte（待校对）,词库自动生成_待内容组校对
adónde,adv,n/a,A2,,去哪里,adónde,Contexto: adónde.,例句待内容组补充（adónde）。,adónde.jpg,A2|adv|日常,专四,acusado（待校对）,系列,espada（待校对）,词库自动生成_待内容组校对
contrario,adj,n/a,A2,,相反,contrario,Contexto: contrario.,例句待内容组补充（contrario）。,contrario.jpg,A2|adj|日常,专四,记忆,陷阱,d,词库自动生成_待内容组校对
enterar,v,n/a,A2,,查出,enterar,Contexto: enterar.,例句待内容组补充（enterar）。,enterar.jpg,A2|v|变位|日常,专四,寒冷的,superficie（待校对）,daniel（待校对）,词库自动生成_待内容组校对
broma,n,m,A2,,开玩笑,broma,Contexto: broma.,例句待内容组补充（broma）。,broma.jpg,A2|n|日常,专四,saludar（待校对）,competencia（待校对）,享受,词库自动生成_待内容组校对
sorpresa,n,f,A2,,惊喜,sorpresa,Contexto: sorpresa.,例句待内容组补充（sorpresa）。,sorpresa.jpg,A2|n|日常,专四,对应,labio（待校对）,山,词库自动生成_待内容组校对
juicio,n,m,A2,,判断,juicio,Contexto: juicio.,例句待内容组补充（juicio）。,juicio.jpg,A2|n|日常,专四,海岸,autobús（待校对）,降低,词库自动生成_待内容组校对
defensa,n,f,A2,,防御,defensa,Contexto: defensa.,例句待内容组补充（defensa）。,defensa.jpg,A2|n|日常,专四,财,aventura（待校对）,culpar（待校对）,词库自动生成_待内容组校对
depender,v,n/a,A2,,依赖,depender,Contexto: depender.,例句待内容组补充（depender）。,depender.jpg,A2|v|变位|日常,专四,搁置,opinar（待校对）,novela（待校对）,词库自动生成_待内容组校对
m,n,n/a,A2,,米,m,Contexto: m.,例句待内容组补充（m）。,m.jpg,A2|n|日常,专四,formación（待校对）,humor（待校对）,当前的,词库自动生成_待内容组校对
regla,n,f,A2,,统治者,regla,Contexto: regla.,例句待内容组补充（regla）。,regla.jpg,A2|n|日常,专四,gonzález（待校对）,金子,驾驶,词库自动生成_待内容组校对
comunidad,n,f,A2,,社区,comunidad,Contexto: comunidad.,例句待内容组补充（comunidad）。,comunidad.jpg,A2|n|日常,专四,触碰,调查,你,词库自动生成_待内容组校对
intento,n,m,A2,,尝试过,intento,Contexto: intento.,例句待内容组补充（intento）。,intento.jpg,A2|n|日常,专四,功能,海滩,目的地,词库自动生成_待内容组校对
cantidad,n,f,A2,,数量,cantidad,Contexto: cantidad.,例句待内容组补充（cantidad）。,cantidad.jpg,A2|n|日常,专四,cocinar（待校对）,收音机,演讲,词库自动生成_待内容组校对
compartir,v,n/a,A2,,分享,compartir,Contexto: compartir.,例句待内容组补充（compartir）。,compartir.jpg,A2|v|变位|日常,专四,民事,射线,lavar（待校对）,词库自动生成_待内容组校对
entendido,adj,n/a,A2,,明白了,entendido,Contexto: entendido.,例句待内容组补充（entendido）。,entendido.jpg,A2|adj|日常,专四,compromiso（待校对）,梦,立即地,词库自动生成_待内容组校对
besar,v,n/a,A2,,吻,besar,Contexto: besar.,例句待内容组补充（besar）。,besar.jpg,A2|v|变位|日常,专四,惹,lento（待校对）,花费,词库自动生成_待内容组校对
pertenecer,v,n/a,A2,,属于,pertenecer,Contexto: pertenecer.,例句待内容组补充（pertenecer）。,pertenecer.jpg,A2|v|变位|日常,专四,所有者,事实,喊,词库自动生成_待内容组校对
repetir,v,n/a,A2,,重复,repetir,Contexto: repetir.,例句待内容组补充（repetir）。,repetir.jpg,A2|v|变位|日常,专四,担心的,相信,完全地,词库自动生成_待内容组校对
engañar,v,n/a,A2,,欺骗,engañar,Contexto: engañar.,例句待内容组补充（engañar）。,engañar.jpg,A2|v|变位|日常,专四,t,品牌,技术的,词库自动生成_待内容组校对
nave,n,n/a,A2,,中殿,nave,Contexto: nave.,例句待内容组补充（nave）。,nave.jpg,A2|n|日常,专四,pedazo（待校对）,除了,山,词库自动生成_待内容组校对
riesgo,n,m,A2,,风险,riesgo,Contexto: riesgo.,例句待内容组补充（riesgo）。,riesgo.jpg,A2|n|日常,专四,activo（待校对）,各种各样的,欺骗,词库自动生成_待内容组校对
justicia,n,f,A2,,正义,justicia,Contexto: justicia.,例句待内容组补充（justicia）。,justicia.jpg,A2|n|日常,专四,特点,财产,排除,词库自动生成_待内容组校对
central,adj,n/a,A2,,中央,central,Contexto: central.,例句待内容组补充（central）。,central.jpg,A2|adj|日常,专四,anciano（待校对）,中尉,大卫,词库自动生成_待内容组校对
cubrir,v,n/a,A2,,覆盖,cubrir,Contexto: cubrir.,例句待内容组补充（cubrir）。,cubrir.jpg,A2|v|变位|日常,专四,保罗,mexicano（待校对）,屁股,词库自动生成_待内容组校对
salida,n,f,A2,,出口,salida,Contexto: salida.,例句待内容组补充（salida）。,salida.jpg,A2|n|日常,专四,humor（待校对）,技术,担心的,词库自动生成_待内容组校对
americano,adj,n/a,A2,,美国人,americano,Contexto: americano.,例句待内容组补充（americano）。,americano.jpg,A2|adj|日常,专四,确认,你的,最后,词库自动生成_待内容组校对
tren,n,n/a,A2,,火车,tren,Contexto: tren.,例句待内容组补充（tren）。,tren.jpg,A2|n|日常,专四,piloto（待校对）,后部,atraer（待校对）,词库自动生成_待内容组校对
serie,n,f,A2,,系列,serie,Contexto: serie.,例句待内容组补充（serie）。,serie.jpg,A2|n|日常,专四,历史的,汤姆,犯罪,词库自动生成_待内容组校对
sector,n,m,A2,,部门,sector,Contexto: sector.,例句待内容组补充（sector）。,sector.jpg,A2|n|日常,专四,公里,interrumpir（待校对）,返回,词库自动生成_待内容组校对
permanecer,v,n/a,A2,,停留,permanecer,Contexto: permanecer.,例句待内容组补充（permanecer）。,permanecer.jpg,A2|v|变位|日常,专四,发布,治疗,inspector（待校对）,词库自动生成_待内容组校对
viajar,v,n/a,A2,,旅行,viajar,Contexto: viajar.,例句待内容组补充（viajar）。,viajar.jpg,A2|v|变位|日常,专四,分析,机器,审查,词库自动生成_待内容组校对
apartar,v,n/a,A2,,搁置,apartar,Contexto: apartar.,例句待内容组补充（apartar）。,apartar.jpg,A2|v|变位|日常,专四,聪明的,búsqueda（待校对）,信仰,词库自动生成_待内容组校对
preocupado,adj,n/a,A2,,担心的,preocupado,Contexto: preocupado.,例句待内容组补充（preocupado）。,preocupado.jpg,A2|adj|日常,专四,公寓,面试,里面,词库自动生成_待内容组校对
asustar,v,n/a,A2,,吓,asustar,Contexto: asustar.,例句待内容组补充（asustar）。,asustar.jpg,A2|v|变位|日常,专四,熟悉的,日期,地铁,词库自动生成_待内容组校对
desarrollar,v,n/a,A2,,发展,desarrollar,Contexto: desarrollar.,例句待内容组补充（desarrollar）。,desarrollar.jpg,A2|v|变位|日常,专四,婚礼,bienvenido（待校对）,领导者,词库自动生成_待内容组校对
uso,n,m,A2,,使用,uso,Contexto: uso.,例句待内容组补充（uso）。,uso.jpg,A2|n|日常,专四,británico（待校对）,书面,沟通,词库自动生成_待内容组校对
calmar,v,n/a,A2,,冷静的,calmar,Contexto: calmar.,例句待内容组补充（calmar）。,calmar.jpg,A2|v|变位|日常,专四,明亮的,权威,industria（待校对）,词库自动生成_待内容组校对
cabo,n,m,A2,,岬,cabo,Contexto: cabo.,例句待内容组补充（cabo）。,cabo.jpg,A2|n|日常,专四,托尼,generación（待校对）,可疑的,词库自动生成_待内容组校对
horrible,adj,n/a,A2,,可怕,horrible,Contexto: horrible.,例句待内容组补充（horrible）。,horrible.jpg,A2|adj|日常,专四,机构,conflicto（待校对）,画,词库自动生成_待内容组校对
corte,n,n/a,A2,,法庭,corte,Contexto: corte.,例句待内容组补充（corte）。,corte.jpg,A2|n|日常,专四,刑事,令人愉快的,气氛,词库自动生成_待内容组校对
prestar,v,n/a,A2,,借,prestar,Contexto: prestar.,例句待内容组补充（prestar）。,prestar.jpg,A2|v|变位|日常,专四,pedazo（待校对）,茶,受欢迎的,词库自动生成_待内容组校对
dedo,n,m,A2,,手指,dedo,Contexto: dedo.,例句待内容组补充（dedo）。,dedo.jpg,A2|n|日常,专四,部门,原因,美国人,词库自动生成_待内容组校对
discutir,v,n/a,A2,,讨论,discutir,Contexto: discutir.,例句待内容组补充（discutir）。,discutir.jpg,A2|v|变位|日常,专四,experto（待校对）,战斗,射线,词库自动生成_待内容组校对
esperanza,n,f,A2,,希望,esperanza,Contexto: esperanza.,例句待内容组补充（esperanza）。,esperanza.jpg,A2|n|日常,专四,陷阱,各种各样的,说谎,词库自动生成_待内容组校对
