lemma,pos,gender,level,ipa,meaning_zh,meaning_en,example_es,example_zh,image_file,tags,exam_tags,distractor_1,distractor_2,distractor_3,copyright_note
timbre,n,n/a,C1,,timbre（待校对）,timbre,Contexto: timbre.,例句待内容组补充（timbre）。,timbre.jpg,C1|n|高级,专八,aplicado（待校对）,clavo（待校对）,owen（待校对）,词库自动生成_待内容组校对
desprender,v,n/a,C1,,desprender（待校对）,desprender,Contexto: desprender.,例句待内容组补充（desprender）。,desprender.jpg,C1|v|变位|高级,专八,colar（待校对）,boom（待校对）,veterano（待校对）,词库自动生成_待内容组校对
porno,n,m,C1,,porno（待校对）,porno,Contexto: porno.,例句待内容组补充（porno）。,porno.jpg,C1|n|高级,专八,proyección（待校对）,trauma（待校对）,correctamente（待校对）,词库自动生成_待内容组校对
beca,n,f,C1,,beca（待校对）,beca,Contexto: beca.,例句待内容组补充（beca）。,beca.jpg,C1|n|高级,专八,órbita（待校对）,banca（待校对）,adicto（待校对）,词库自动生成_待内容组校对
ee. uu.,n,n/a,C1,,ee. uu.（待校对）,ee. uu.,Contexto: ee. uu..,例句待内容组补充（ee. uu.）。,ee_uu.jpg,C1|n|高级,专八,shawn（待校对）,hemorragia（待校对）,documental（待校对）,词库自动生成_待内容组校对
mejilla,n,f,C1,,mejilla（待校对）,mejilla,Contexto: mejilla.,例句待内容组补充（mejilla）。,mejilla.jpg,C1|n|高级,专八,obsesión（待校对）,talla（待校对）,iv（待校对）,词库自动生成_待内容组校对
crónica,n,f,C1,,crónica（待校对）,crónica,Contexto: crónica.,例句待内容组补充（crónica）。,crónica.jpg,C1|n|高级,专八,incendiar（待校对）,perrito（待校对）,hong（待校对）,词库自动生成_待内容组校对
coca,n,f,C1,,coca（待校对）,coca,Contexto: coca.,例句待内容组补充（coca）。,coca.jpg,C1|n|高级,专八,boy（待校对）,nido（待校对）,cachorro（待校对）,词库自动生成_待内容组校对
justamente,adv,n/a,C1,,justamente（待校对）,justamente,Contexto: justamente.,例句待内容组补充（justamente）。,justamente.jpg,C1|adv|高级,专八,alonso（待校对）,igualdad（待校对）,marrón（待校对）,词库自动生成_待内容组校对
vientre,n,n/a,C1,,vientre（待校对）,vientre,Contexto: vientre.,例句待内容组补充（vientre）。,vientre.jpg,C1|n|高级,专八,ingenuo（待校对）,ideológico（待校对）,psíquico（待校对）,词库自动生成_待内容组校对
ocupación,n,f,C1,,ocupación（待校对）,ocupación,Contexto: ocupación.,例句待内容组补充（ocupación）。,ocupación.jpg,C1|n|高级,专八,desprender（待校对）,montaje（待校对）,angela（待校对）,词库自动生成_待内容组校对
precisión,n,f,C1,,precisión（待校对）,precisión,Contexto: precisión.,例句待内容组补充（precisión）。,precisión.jpg,C1|n|高级,专八,barril（待校对）,panamá（待校对）,billón（待校对）,词库自动生成_待内容组校对
jonathan,n,n/a,C1,,jonathan（待校对）,jonathan,Contexto: jonathan.,例句待内容组补充（jonathan）。,jonathan.jpg,C1|n|高级,专八,francis（待校对）,holly（待校对）,exclusivamente（待校对）,词库自动生成_待内容组校对
participante,n,n/a,C1,,participante（待校对）,participante,Contexto: participante.,例句待内容组补充（participante）。,participante.jpg,C1|n|高级,专八,xx（待校对）,utilidad（待校对）,refugiado（待校对）,词库自动生成_待内容组校对
arquitectura,n,f,C1,,arquitectura（待校对）,arquitectura,Contexto: arquitectura.,例句待内容组补充（arquitectura）。,arquitectura.jpg,C1|n|高级,专八,suprema（待校对）,nelson（待校对）,válido（待校对）,词库自动生成_待内容组校对
competición,n,f,C1,,competición（待校对）,competición,Contexto: competición.,例句待内容组补充（competición）。,competición.jpg,C1|n|高级,专八,aprendizaje（待校对）,mariposa（待校对）,compartido（待校对）,词库自动生成_待内容组校对
calendario,n,m,C1,,calendario（待校对）,calendario,Contexto: calendario.,例句待内容组补充（calendario）。,calendario.jpg,C1|n|高级,专八,israelí（待校对）,complejo（待校对）,ethan（待校对）,词库自动生成_待内容组校对
afeitar,v,n/a,C1,,afeitar（待校对）,afeitar,Contexto: afeitar.,例句待内容组补充（afeitar）。,afeitar.jpg,C1|v|变位|高级,专八,dictadura（待校对）,owen（待校对）,arriesgado（待校对）,词库自动生成_待内容组校对
cigarro,n,m,C1,,cigarro（待校对）,cigarro,Contexto: cigarro.,例句待内容组补充（cigarro）。,cigarro.jpg,C1|n|高级,专八,requisito（待校对）,ken（待校对）,amargo（待校对）,词库自动生成_待内容组校对
trauma,n,m,C1,,trauma（待校对）,trauma,Contexto: trauma.,例句待内容组补充（trauma）。,trauma.jpg,C1|n|高级,专八,déficit（待校对）,séptimo（待校对）,ordinario（待校对）,词库自动生成_待内容组校对
brigada,n,f,C1,,brigada（待校对）,brigada,Contexto: brigada.,例句待内容组补充（brigada）。,brigada.jpg,C1|n|高级,专八,motel（待校对）,prometido（待校对）,infectado（待校对）,词库自动生成_待内容组校对
algun,adj,n/a,C1,,algun（待校对）,algun,Contexto: algun.,例句待内容组补充（algun）。,algun.jpg,C1|adj|高级,专八,sentimental（待校对）,matrícula（待校对）,joaquín（待校对）,词库自动生成_待内容组校对
concesión,n,f,C1,,concesión（待校对）,concesión,Contexto: concesión.,例句待内容组补充（concesión）。,concesión.jpg,C1|n|高级,专八,hong（待校对）,suárez（待校对）,vena（待校对）,词库自动生成_待内容组校对
honrado,adj,n/a,C1,,honrado（待校对）,honrado,Contexto: honrado.,例句待内容组补充（honrado）。,honrado.jpg,C1|adj|高级,专八,willie（待校对）,siesta（待校对）,montaje（待校对）,词库自动生成_待内容组校对
documental,n,n/a,C1,,documental（待校对）,documental,Contexto: documental.,例句待内容组补充（documental）。,documental.jpg,C1|n|高级,专八,preso（待校对）,munición（待校对）,rellenar（待校对）,词库自动生成_待内容组校对
fiscalía,n,f,C1,,fiscalía（待校对）,fiscalía,Contexto: fiscalía.,例句待内容组补充（fiscalía）。,fiscalía.jpg,C1|n|高级,专八,tobillo（待校对）,tornar（待校对）,marrón（待校对）,词库自动生成_待内容组校对
pacífico,n,m,C1,,pacífico（待校对）,pacífico,Contexto: pacífico.,例句待内容组补充（pacífico）。,pacífico.jpg,C1|n|高级,专八,trauma（待校对）,discreto（待校对）,crónica（待校对）,词库自动生成_待内容组校对
lesbiano,adj,n/a,C1,,lesbiano（待校对）,lesbiano,Contexto: lesbiano.,例句待内容组补充（lesbiano）。,lesbiano.jpg,C1|adj|高级,专八,legislativo（待校对）,barril（待校对）,inconveniente（待校对）,词库自动生成_待内容组校对
rehabilitación,n,f,C1,,rehabilitación（待校对）,rehabilitación,Contexto: rehabilitación.,例句待内容组补充（rehabilitación）。,rehabilitación.jpg,C1|n|高级,专八,burro（待校对）,perrito（待校对）,art（待校对）,词库自动生成_待内容组校对
vena,n,f,C1,,vena（待校对）,vena,Contexto: vena.,例句待内容组补充（vena）。,vena.jpg,C1|n|高级,专八,ali（待校对）,afeitar（待校对）,bigote（待校对）,词库自动生成_待内容组校对
abeja,n,f,C1,,abeja（待校对）,abeja,Contexto: abeja.,例句待内容组补充（abeja）。,abeja.jpg,C1|n|高级,专八,luchador（待校对）,suicida（待校对）,agotar（待校对）,词库自动生成_待内容组校对
francis,adv,n/a,C1,,francis（待校对）,francis,Contexto: francis.,例句待内容组补充（francis）。,francis.jpg,C1|adv|高级,专八,estrellar（待校对）,práctico（待校对）,vano（待校对）,词库自动生成_待内容组校对
conquista,n,f,C1,,conquista（待校对）,conquista,Contexto: conquista.,例句待内容组补充（conquista）。,conquista.jpg,C1|n|高级,专八,lorenzo（待校对）,recta（待校对）,nido（待校对）,词库自动生成_待内容组校对
marica,n,f,C1,,marica（待校对）,marica,Contexto: marica.,例句待内容组补充（marica）。,marica.jpg,C1|n|高级,专八,infraestructura（待校对）,vulnerable（待校对）,siesta（待校对）,词库自动生成_待内容组校对
astuto,adj,n/a,C1,,astuto（待校对）,astuto,Contexto: astuto.,例句待内容组补充（astuto）。,astuto.jpg,C1|adj|高级,专八,talla（待校对）,incendiar（待校对）,harold（待校对）,词库自动生成_待内容组校对
tornar,v,n/a,C1,,tornar（待校对）,tornar,Contexto: tornar.,例句待内容组补充（tornar）。,tornar.jpg,C1|v|变位|高级,专八,comparado（待校对）,participante（待校对）,latinoamericano（待校对）,词库自动生成_待内容组校对
ajo,n,m,C1,,ajo（待校对）,ajo,Contexto: ajo.,例句待内容组补充（ajo）。,ajo.jpg,C1|n|高级,专八,vaciar（待校对）,alfredo（待校对）,ídolo（待校对）,词库自动生成_待内容组校对
proyección,n,f,C1,,proyección（待校对）,proyección,Contexto: proyección.,例句待内容组补充（proyección）。,proyección.jpg,C1|n|高级,专八,sue（待校对）,válido（待校对）,neil（待校对）,词库自动生成_待内容组校对
díselo,adv,n/a,C1,,díselo（待校对）,díselo,Contexto: díselo.,例句待内容组补充（díselo）。,díselo.jpg,C1|adv|高级,专八,brigada（待校对）,estrellar（待校对）,gatito（待校对）,词库自动生成_待内容组校对
cuerno,n,m,C1,,cuerno（待校对）,cuerno,Contexto: cuerno.,例句待内容组补充（cuerno）。,cuerno.jpg,C1|n|高级,专八,astuto（待校对）,suprema（待校对）,respaldar（待校对）,词库自动生成_待内容组校对
keith,n,n/a,C1,,keith（待校对）,keith,Contexto: keith.,例句待内容组补充（keith）。,keith.jpg,C1|n|高级,专八,estrellar（待校对）,comprador（待校对）,complicar（待校对）,词库自动生成_待内容组校对
evidentemente,adv,n/a,C1,,evidentemente（待校对）,evidentemente,Contexto: evidentemente.,例句待内容组补充（evidentemente）。,evidentemente.jpg,C1|adv|高级,专八,preso（待校对）,tirador（待校对）,cultivar（待校对）,词库自动生成_待内容组校对
bretaña,n,f,C1,,bretaña（待校对）,bretaña,Contexto: bretaña.,例句待内容组补充（bretaña）。,bretaña.jpg,C1|n|高级,专八,hong（待校对）,ocupación（待校对）,respectivo（待校对）,词库自动生成_待内容组校对
gatito,n,m,C1,,gatito（待校对）,gatito,Contexto: gatito.,例句待内容组补充（gatito）。,gatito.jpg,C1|n|高级,专八,ataúd（待校对）,la habana（待校对）,watson（待校对）,词库自动生成_待内容组校对
joaquín,n,n/a,C1,,joaquín（待校对）,joaquín,Contexto: joaquín.,例句待内容组补充（joaquín）。,joaquín.jpg,C1|n|高级,专八,estelar（待校对）,atascado（待校对）,perjudicar（待校对）,词库自动生成_待内容组校对
asignar,v,n/a,C1,,asignar（待校对）,asignar,Contexto: asignar.,例句待内容组补充（asignar）。,asignar.jpg,C1|v|变位|高级,专八,ochenta（待校对）,vietnam（待校对）,jess（待校对）,词库自动生成_待内容组校对
brandon,adv,n/a,C1,,brandon（待校对）,brandon,Contexto: brandon.,例句待内容组补充（brandon）。,brandon.jpg,C1|adv|高级,专八,reforzar（待校对）,multiplicar（待校对）,procesar（待校对）,词库自动生成_待内容组校对
orinar,v,n/a,C1,,orinar（待校对）,orinar,Contexto: orinar.,例句待内容组补充（orinar）。,orinar.jpg,C1|v|变位|高级,专八,detestar（待校对）,animado（待校对）,atascado（待校对）,词库自动生成_待内容组校对
riñón,n,n/a,C1,,riñón（待校对）,riñón,Contexto: riñón.,例句待内容组补充（riñón）。,riñón.jpg,C1|n|高级,专八,administrador（待校对）,mandato（待校对）,habitar（待校对）,词库自动生成_待内容组校对
graduar,v,n/a,C1,,graduar（待校对）,graduar,Contexto: graduar.,例句待内容组补充（graduar）。,graduar.jpg,C1|v|变位|高级,专八,veterano（待校对）,barril（待校对）,arquitectura（待校对）,词库自动生成_待内容组校对
preso,adj,n/a,C1,,preso（待校对）,preso,Contexto: preso.,例句待内容组补充（preso）。,preso.jpg,C1|adj|高级,专八,terminal（待校对）,tobillo（待校对）,introducción（待校对）,词库自动生成_待内容组校对
aplaudir,v,n/a,C1,,aplaudir（待校对）,aplaudir,Contexto: aplaudir.,例句待内容组补充（aplaudir）。,aplaudir.jpg,C1|v|变位|高级,专八,estratégico（待校对）,legislativo（待校对）,evidentemente（待校对）,词库自动生成_待内容组校对
dictadura,n,f,C1,,dictadura（待校对）,dictadura,Contexto: dictadura.,例句待内容组补充（dictadura）。,dictadura.jpg,C1|n|高级,专八,suprema（待校对）,soporte（待校对）,monetario（待校对）,词库自动生成_待内容组校对
marihuana,n,f,C1,,marihuana（待校对）,marihuana,Contexto: marihuana.,例句待内容组补充（marihuana）。,marihuana.jpg,C1|n|高级,专八,tirador（待校对）,ali（待校对）,estrangular（待校对）,词库自动生成_待内容组校对
freír,v,n/a,C1,,freír（待校对）,freír,Contexto: freír.,例句待内容组补充（freír）。,freír.jpg,C1|v|变位|高级,专八,abundante（待校对）,latinoamericano（待校对）,cuerno（待校对）,词库自动生成_待内容组校对
habitar,v,n/a,C1,,habitar（待校对）,habitar,Contexto: habitar.,例句待内容组补充（habitar）。,habitar.jpg,C1|v|变位|高级,专八,teddy（待校对）,white（待校对）,leve（待校对）,词库自动生成_待内容组校对
niebla,n,f,C1,,niebla（待校对）,niebla,Contexto: niebla.,例句待内容组补充（niebla）。,niebla.jpg,C1|n|高级,专八,complicar（待校对）,anular（待校对）,respaldar（待校对）,词库自动生成_待内容组校对
soporte,n,n/a,C1,,soporte（待校对）,soporte,Contexto: soporte.,例句待内容组补充（soporte）。,soporte.jpg,C1|n|高级,专八,directivo（待校对）,ficha（待校对）,demócrata（待校对）,词库自动生成_待内容组校对
detestar,v,n/a,C1,,detestar（待校对）,detestar,Contexto: detestar.,例句待内容组补充（detestar）。,detestar.jpg,C1|v|变位|高级,专八,lincoln（待校对）,nudo（待校对）,ajo（待校对）,词库自动生成_待内容组校对
masaje,n,m,C1,,masaje（待校对）,masaje,Contexto: masaje.,例句待内容组补充（masaje）。,masaje.jpg,C1|n|高级,专八,cadera（待校对）,aprendizaje（待校对）,institucional（待校对）,词库自动生成_待内容组校对
vaciar,v,n/a,C1,,vaciar（待校对）,vaciar,Contexto: vaciar.,例句待内容组补充（vaciar）。,vaciar.jpg,C1|v|变位|高级,专八,habitar（待校对）,siesta（待校对）,pierre（待校对）,词库自动生成_待内容组校对
ethan,adv,n/a,C1,,ethan（待校对）,ethan,Contexto: ethan.,例句待内容组补充（ethan）。,ethan.jpg,C1|adv|高级,专八,terminal（待校对）,rehabilitación（待校对）,calendario（待校对）,词库自动生成_待内容组校对
implicado,adj,n/a,C1,,implicado（待校对）,implicado,Contexto: implicado.,例句待内容组补充（implicado）。,implicado.jpg,C1|adj|高级,专八,programación（待校对）,proclamar（待校对）,susto（待校对）,词库自动生成_待内容组校对
nombrado,adj,n/a,C1,,nombrado（待校对）,nombrado,Contexto: nombrado.,例句待内容组补充（nombrado）。,nombrado.jpg,C1|adj|高级,专八,queria（待校对）,residir（待校对）,polémica（待校对）,词库自动生成_待内容组校对
caramba,n,f,C1,,caramba（待校对）,caramba,Contexto: caramba.,例句待内容组补充（caramba）。,caramba.jpg,C1|n|高级,专八,juramento（待校对）,dió（待校对）,gonzalo（待校对）,词库自动生成_待内容组校对
ellen,adv,n/a,C1,,ellen（待校对）,ellen,Contexto: ellen.,例句待内容组补充（ellen）。,ellen.jpg,C1|adv|高级,专八,implicado（待校对）,spencer（待校对）,harris（待校对）,词库自动生成_待内容组校对
inaugurar,v,n/a,C1,,inaugurar（待校对）,inaugurar,Contexto: inaugurar.,例句待内容组补充（inaugurar）。,inaugurar.jpg,C1|v|变位|高级,专八,documentación（待校对）,moreno（待校对）,picar（待校对）,词库自动生成_待内容组校对
geografía,n,f,C1,,geografía（待校对）,geografía,Contexto: geografía.,例句待内容组补充（geografía）。,geografía.jpg,C1|n|高级,专八,masaje（待校对）,estrangular（待校对）,legislativo（待校对）,词库自动生成_待内容组校对
anular,v,n/a,C1,,anular（待校对）,anular,Contexto: anular.,例句待内容组补充（anular）。,anular.jpg,C1|v|变位|高级,专八,detestar（待校对）,comprador（待校对）,portal（待校对）,词库自动生成_待内容组校对
correctamente,adv,n/a,C1,,correctamente（待校对）,correctamente,Contexto: correctamente.,例句待内容组补充（correctamente）。,correctamente.jpg,C1|adv|高级,专八,proclamar（待校对）,retrasado（待校对）,polémica（待校对）,词库自动生成_待内容组校对
mensajero,n,m,C1,,mensajero（待校对）,mensajero,Contexto: mensajero.,例句待内容组补充（mensajero）。,mensajero.jpg,C1|n|高级,专八,monetario（待校对）,licor（待校对）,obsesión（待校对）,词库自动生成_待内容组校对
madrileño,adj,n/a,C1,,madrileño（待校对）,madrileño,Contexto: madrileño.,例句待内容组补充（madrileño）。,madrileño.jpg,C1|adj|高级,专八,disputar（待校对）,estímulo（待校对）,antigüedad（待校对）,词库自动生成_待内容组校对
tiroteo,n,m,C1,,tiroteo（待校对）,tiroteo,Contexto: tiroteo.,例句待内容组补充（tiroteo）。,tiroteo.jpg,C1|n|高级,专八,lateral（待校对）,autopsia（待校对）,concesión（待校对）,词库自动生成_待内容组校对
estirar,v,n/a,C1,,estirar（待校对）,estirar,Contexto: estirar.,例句待内容组补充（estirar）。,estirar.jpg,C1|v|变位|高级,专八,porno（待校对）,cigarro（待校对）,suspendido（待校对）,词库自动生成_待内容组校对
nelson,n,n/a,C1,,nelson（待校对）,nelson,Contexto: nelson.,例句待内容组补充（nelson）。,nelson.jpg,C1|n|高级,专八,ali（待校对）,exclusivamente（待校对）,mejilla（待校对）,词库自动生成_待内容组校对
mickey,adv,n/a,C1,,mickey（待校对）,mickey,Contexto: mickey.,例句待内容组补充（mickey）。,mickey.jpg,C1|adv|高级,专八,jennifer（待校对）,inusual（待校对）,escuadrón（待校对）,词库自动生成_待内容组校对
ignacio,n,m,C1,,ignacio（待校对）,ignacio,Contexto: ignacio.,例句待内容组补充（ignacio）。,ignacio.jpg,C1|n|高级,专八,escuadrón（待校对）,venezolano（待校对）,xx（待校对）,词库自动生成_待内容组校对
deprimido,adj,n/a,C1,,deprimido（待校对）,deprimido,Contexto: deprimido.,例句待内容组补充（deprimido）。,deprimido.jpg,C1|adj|高级,专八,suspendido（待校对）,min（待校对）,mandato（待校对）,词库自动生成_待内容组校对
shawn,adv,n/a,C1,,shawn（待校对）,shawn,Contexto: shawn.,例句待内容组补充（shawn）。,shawn.jpg,C1|adv|高级,专八,marihuana（待校对）,introducción（待校对）,respaldo（待校对）,词库自动生成_待内容组校对
compasión,n,f,C1,,compasión（待校对）,compasión,Contexto: compasión.,例句待内容组补充（compasión）。,compasión.jpg,C1|n|高级,专八,estratégico（待校对）,niebla（待校对）,ideológico（待校对）,词库自动生成_待内容组校对
boy,n,n/a,C1,,boy（待校对）,boy,Contexto: boy.,例句待内容组补充（boy）。,boy.jpg,C1|n|高级,专八,asignar（待校对）,deprimido（待校对）,julian（待校对）,词库自动生成_待内容组校对
ruth,n,n/a,C1,,ruth（待校对）,ruth,Contexto: ruth.,例句待内容组补充（ruth）。,ruth.jpg,C1|n|高级,专八,tarifa（待校对）,xx（待校对）,lateral（待校对）,词库自动生成_待内容组校对
autopsia,n,f,C1,,autopsia（待校对）,autopsia,Contexto: autopsia.,例句待内容组补充（autopsia）。,autopsia.jpg,C1|n|高级,专八,fluir（待校对）,ali（待校对）,hill（待校对）,词库自动生成_待内容组校对
estabilidad,n,f,C1,,estabilidad（待校对）,estabilidad,Contexto: estabilidad.,例句待内容组补充（estabilidad）。,estabilidad.jpg,C1|n|高级,专八,ernesto（待校对）,manga（待校对）,willie（待校对）,词库自动生成_待内容组校对
spencer,adv,n/a,C1,,spencer（待校对）,spencer,Contexto: spencer.,例句待内容组补充（spencer）。,spencer.jpg,C1|adv|高级,专八,prestigio（待校对）,furgoneta（待校对）,agrícola（待校对）,词库自动生成_待内容组校对
moreno,n,m,C1,,moreno（待校对）,moreno,Contexto: moreno.,例句待内容组补充（moreno）。,moreno.jpg,C1|n|高级,专八,subterráneo（待校对）,siesta（待校对）,persecución（待校对）,词库自动生成_待内容组校对
liar,v,n/a,C1,,liar（待校对）,liar,Contexto: liar.,例句待内容组补充（liar）。,liar.jpg,C1|v|变位|高级,专八,pilar（待校对）,freír（待校对）,terminal（待校对）,词库自动生成_待内容组校对
dennis,adv,n/a,C1,,dennis（待校对）,dennis,Contexto: dennis.,例句待内容组补充（dennis）。,dennis.jpg,C1|adv|高级,专八,introducción（待校对）,inspección（待校对）,mariposa（待校对）,词库自动生成_待内容组校对
ordinario,adj,n/a,C1,,ordinario（待校对）,ordinario,Contexto: ordinario.,例句待内容组补充（ordinario）。,ordinario.jpg,C1|adj|高级,专八,déficit（待校对）,secretaría（待校对）,suprema（待校对）,词库自动生成_待内容组校对
evolucionar,v,n/a,C1,,evolucionar（待校对）,evolucionar,Contexto: evolucionar.,例句待内容组补充（evolucionar）。,evolucionar.jpg,C1|v|变位|高级,专八,proclamar（待校对）,picar（待校对）,antigüedad（待校对）,词库自动生成_待内容组校对
desempeñar,v,n/a,C1,,desempeñar（待校对）,desempeñar,Contexto: desempeñar.,例句待内容组补充（desempeñar）。,desempeñar.jpg,C1|v|变位|高级,专八,louise（待校对）,coca（待校对）,anthony（待校对）,词库自动生成_待内容组校对
comprador,n,m,C1,,comprador（待校对）,comprador,Contexto: comprador.,例句待内容组补充（comprador）。,comprador.jpg,C1|n|高级,专八,procesar（待校对）,willie（待校对）,inspiración（待校对）,词库自动生成_待内容组校对
bigote,n,n/a,C1,,bigote（待校对）,bigote,Contexto: bigote.,例句待内容组补充（bigote）。,bigote.jpg,C1|n|高级,专八,residir（待校对）,ingenuo（待校对）,cómico（待校对）,词库自动生成_待内容组校对
respectivo,adj,n/a,C1,,respectivo（待校对）,respectivo,Contexto: respectivo.,例句待内容组补充（respectivo）。,respectivo.jpg,C1|adj|高级,专八,remover（待校对）,detestar（待校对）,conquista（待校对）,词库自动生成_待内容组校对
munición,n,f,C1,,munición（待校对）,munición,Contexto: munición.,例句待内容组补充（munición）。,munición.jpg,C1|n|高级,专八,escuadrón（待校对）,zoe（待校对）,jonathan（待校对）,词库自动生成_待内容组校对
teddy,adv,n/a,C1,,teddy（待校对）,teddy,Contexto: teddy.,例句待内容组补充（teddy）。,teddy.jpg,C1|adv|高级,专八,mutuo（待校对）,brillo（待校对）,matrícula（待校对）,词库自动生成_待内容组校对
explotación,n,f,C1,,explotación（待校对）,explotación,Contexto: explotación.,例句待内容组补充（explotación）。,explotación.jpg,C1|n|高级,专八,increíblemente（待校对）,burro（待校对）,perla（待校对）,词库自动生成_待内容组校对
táctica,n,f,C1,,táctica（待校对）,táctica,Contexto: táctica.,例句待内容组补充（táctica）。,táctica.jpg,C1|n|高级,专八,suspendido（待校对）,luchador（待校对）,complejo（待校对）,词库自动生成_待内容组校对
vietnam,n,n/a,C1,,vietnam（待校对）,vietnam,Contexto: vietnam.,例句待内容组补充（vietnam）。,vietnam.jpg,C1|n|高级,专八,aprendizaje（待校对）,egipto（待校对）,geográfico（待校对）,词库自动生成_待内容组校对
