lemma,pos,gender,level,ipa,meaning_zh,meaning_en,example_es,example_zh,image_file,tags,exam_tags,distractor_1,distractor_2,distractor_3,copyright_note
perfección,n,f,C2,,perfección（待校对）,perfección,Contexto: perfección.,例句待内容组补充（perfección）。,perfección.jpg,C2|n|高级,专八,doscientos（待校对）,jin（待校对）,contaminación（待校对）,词库自动生成_待内容组校对
seleccionar,v,n/a,C2,,seleccionar（待校对）,seleccionar,Contexto: seleccionar.,例句待内容组补充（seleccionar）。,seleccionar.jpg,C2|v|变位|高级,专八,onu（待校对）,apuro（待校对）,emisora（待校对）,词库自动生成_待内容组校对
compositor,n,m,C2,,compositor（待校对）,compositor,Contexto: compositor.,例句待内容组补充（compositor）。,compositor.jpg,C2|n|高级,专八,mona（待校对）,retorno（待校对）,malentendido（待校对）,词库自动生成_待内容组校对
equivalente,adj,n/a,C2,,equivalente（待校对）,equivalente,Contexto: equivalente.,例句待内容组补充（equivalente）。,equivalente.jpg,C2|adj|高级,专八,telegrama（待校对）,drogado（待校对）,vestuario（待校对）,词库自动生成_待内容组校对
capullo,n,m,C2,,capullo（待校对）,capullo,Contexto: capullo.,例句待内容组补充（capullo）。,capullo.jpg,C2|n|高级,专八,convocatoria（待校对）,orina（待校对）,estrecho（待校对）,词库自动生成_待内容组校对
bodega,n,f,C2,,bodega（待校对）,bodega,Contexto: bodega.,例句待内容组补充（bodega）。,bodega.jpg,C2|n|高级,专八,love（待校对）,descifrar（待校对）,imprescindible（待校对）,词库自动生成_待内容组校对
colaborador,n,m,C2,,colaborador（待校对）,colaborador,Contexto: colaborador.,例句待内容组补充（colaborador）。,colaborador.jpg,C2|n|高级,专八,pillo（待校对）,determinación（待校对）,ingeniería（待校对）,词库自动生成_待内容组校对
susurrar,v,n/a,C2,,susurrar（待校对）,susurrar,Contexto: susurrar.,例句待内容组补充（susurrar）。,susurrar.jpg,C2|v|变位|高级,专八,bruno（待校对）,financiación（待校对）,claudia（待校对）,词库自动生成_待内容组校对
ejercitar,v,n/a,C2,,ejercitar（待校对）,ejercitar,Contexto: ejercitar.,例句待内容组补充（ejercitar）。,ejercitar.jpg,C2|v|变位|高级,专八,evan（待校对）,carolina（待校对）,terraza（待校对）,词库自动生成_待内容组校对
andrea,n,f,C2,,andrea（待校对）,andrea,Contexto: andrea.,例句待内容组补充（andrea）。,andrea.jpg,C2|n|高级,专八,kennedy（待校对）,drogado（待校对）,matón（待校对）,词库自动生成_待内容组校对
diferenciar,v,n/a,C2,,diferenciar（待校对）,diferenciar,Contexto: diferenciar.,例句待内容组补充（diferenciar）。,diferenciar.jpg,C2|v|变位|高级,专八,cuaderno（待校对）,baloncesto（待校对）,crucero（待校对）,词库自动生成_待内容组校对
blando,adj,n/a,C2,,blando（待校对）,blando,Contexto: blando.,例句待内容组补充（blando）。,blando.jpg,C2|adj|高级,专八,estrecho（待校对）,pillo（待校对）,vergonzoso（待校对）,词库自动生成_待内容组校对
consolidar,v,n/a,C2,,consolidar（待校对）,consolidar,Contexto: consolidar.,例句待内容组补充（consolidar）。,consolidar.jpg,C2|v|变位|高级,专八,radar（待校对）,maletín（待校对）,latir（待校对）,词库自动生成_待内容组校对
triple,n,n/a,C2,,triple（待校对）,triple,Contexto: triple.,例句待内容组补充（triple）。,triple.jpg,C2|n|高级,专八,balance（待校对）,clan（待校对）,maldecir（待校对）,词库自动生成_待内容组校对
for,adv,n/a,C2,,for（待校对）,for,Contexto: for.,例句待内容组补充（for）。,for.jpg,C2|adv|高级,专八,asociar（待校对）,bodega（待校对）,considerable（待校对）,词库自动生成_待内容组校对
lane,adv,n/a,C2,,lane（待校对）,lane,Contexto: lane.,例句待内容组补充（lane）。,lane.jpg,C2|adv|高级,专八,polla（待校对）,fundamento（待校对）,porción（待校对）,词库自动生成_待内容组校对
pescador,n,m,C2,,pescador（待校对）,pescador,Contexto: pescador.,例句待内容组补充（pescador）。,pescador.jpg,C2|n|高级,专八,moderado（待校对）,monumento（待校对）,centenar（待校对）,词库自动生成_待内容组校对
coalición,n,f,C2,,coalición（待校对）,coalición,Contexto: coalición.,例句待内容组补充（coalición）。,coalición.jpg,C2|n|高级,专八,ideología（待校对）,sutil（待校对）,escultura（待校对）,词库自动生成_待内容组校对
diane,adv,n/a,C2,,diane（待校对）,diane,Contexto: diane.,例句待内容组补充（diane）。,diane.jpg,C2|adv|高级,专八,envidia（待校对）,félix（待校对）,connor（待校对）,词库自动生成_待内容组校对
anfitrión,n,f,C2,,anfitrión（待校对）,anfitrión,Contexto: anfitrión.,例句待内容组补充（anfitrión）。,anfitrión.jpg,C2|n|高级,专八,yeah（待校对）,carrie（待校对）,cortesía（待校对）,词库自动生成_待内容组校对
algodón,n,n/a,C2,,algodón（待校对）,algodón,Contexto: algodón.,例句待内容组补充（algodón）。,algodón.jpg,C2|n|高级,专八,orina（待校对）,ambicioso（待校对）,sofisticado（待校对）,词库自动生成_待内容组校对
devorar,v,n/a,C2,,devorar（待校对）,devorar,Contexto: devorar.,例句待内容组补充（devorar）。,devorar.jpg,C2|v|变位|高级,专八,andrea（待校对）,cerradura（待校对）,centenar（待校对）,词库自动生成_待内容组校对
cumplimiento,n,m,C2,,cumplimiento（待校对）,cumplimiento,Contexto: cumplimiento.,例句待内容组补充（cumplimiento）。,cumplimiento.jpg,C2|n|高级,专八,relativamente（待校对）,aparcar（待校对）,gratuito（待校对）,词库自动生成_待内容组校对
house,n,n/a,C2,,house（待校对）,house,Contexto: house.,例句待内容组补充（house）。,house.jpg,C2|n|高级,专八,cuaderno（待校对）,sobrepasar（待校对）,leonard（待校对）,词库自动生成_待内容组校对
maricón,n,n/a,C2,,maricón（待校对）,maricón,Contexto: maricón.,例句待内容组补充（maricón）。,maricón.jpg,C2|n|高级,专八,seleccionar（待校对）,filósofo（待校对）,relativamente（待校对）,词库自动生成_待内容组校对
nuez,n,f,C2,,nuez（待校对）,nuez,Contexto: nuez.,例句待内容组补充（nuez）。,nuez.jpg,C2|n|高级,专八,martillo（待校对）,blando（待校对）,fanático（待校对）,词库自动生成_待内容组校对
terremoto,n,m,C2,,terremoto（待校对）,terremoto,Contexto: terremoto.,例句待内容组补充（terremoto）。,terremoto.jpg,C2|n|高级,专八,teatral（待校对）,pino（待校对）,marea（待校对）,词库自动生成_待内容组校对
all,adv,n/a,C2,,all（待校对）,all,Contexto: all.,例句待内容组补充（all）。,all.jpg,C2|adv|高级,专八,cretino（待校对）,racional（待校对）,star（待校对）,词库自动生成_待内容组校对
dinámica,n,f,C2,,dinámica（待校对）,dinámica,Contexto: dinámica.,例句待内容组补充（dinámica）。,dinámica.jpg,C2|n|高级,专八,nora（待校对）,ranchar（待校对）,maldecir（待校对）,词库自动生成_待内容组校对
cordero,n,m,C2,,cordero（待校对）,cordero,Contexto: cordero.,例句待内容组补充（cordero）。,cordero.jpg,C2|n|高级,专八,acordado（待校对）,trece（待校对）,connor（待校对）,词库自动生成_待内容组校对
insulto,n,m,C2,,insulto（待校对）,insulto,Contexto: insulto.,例句待内容组补充（insulto）。,insulto.jpg,C2|n|高级,专八,martillo（待校对）,relativamente（待校对）,singular（待校对）,词库自动生成_待内容组校对
suspensión,n,f,C2,,suspensión（待校对）,suspensión,Contexto: suspensión.,例句待内容组补充（suspensión）。,suspensión.jpg,C2|n|高级,专八,cereal（待校对）,jin（待校对）,christine（待校对）,词库自动生成_待内容组校对
acosar,v,n/a,C2,,acosar（待校对）,acosar,Contexto: acosar.,例句待内容组补充（acosar）。,acosar.jpg,C2|v|变位|高级,专八,suspensión（待校对）,vodka（待校对）,warren（待校对）,词库自动生成_待内容组校对
janet,adv,n/a,C2,,janet（待校对）,janet,Contexto: janet.,例句待内容组补充（janet）。,janet.jpg,C2|adv|高级,专八,audrey（待校对）,malentendido（待校对）,jin（待校对）,词库自动生成_待内容组校对
shane,adv,n/a,C2,,shane（待校对）,shane,Contexto: shane.,例句待内容组补充（shane）。,shane.jpg,C2|adv|高级,专八,almacenar（待校对）,ideología（待校对）,respiro（待校对）,词库自动生成_待内容组校对
antena,n,f,C2,,antena（待校对）,antena,Contexto: antena.,例句待内容组补充（antena）。,antena.jpg,C2|n|高级,专八,intérprete（待校对）,polaco（待校对）,descuidar（待校对）,词库自动生成_待内容组校对
panorama,n,m,C2,,panorama（待校对）,panorama,Contexto: panorama.,例句待内容组补充（panorama）。,panorama.jpg,C2|n|高级,专八,natalie（待校对）,mansión（待校对）,escultura（待校对）,词库自动生成_待内容组校对
fortalecer,v,n/a,C2,,fortalecer（待校对）,fortalecer,Contexto: fortalecer.,例句待内容组补充（fortalecer）。,fortalecer.jpg,C2|v|变位|高级,专八,hongo（待校对）,lotería（待校对）,lastimado（待校对）,词库自动生成_待内容组校对
concentrado,adj,n/a,C2,,concentrado（待校对）,concentrado,Contexto: concentrado.,例句待内容组补充（concentrado）。,concentrado.jpg,C2|adj|高级,专八,estrecho（待校对）,rosario（待校对）,conmover（待校对）,词库自动生成_待内容组校对
gitano,n,m,C2,,gitano（待校对）,gitano,Contexto: gitano.,例句待内容组补充（gitano）。,gitano.jpg,C2|n|高级,专八,apoderar（待校对）,coco（待校对）,aterrorizar（待校对）,词库自动生成_待内容组校对
acomodar,v,n/a,C2,,acomodar（待校对）,acomodar,Contexto: acomodar.,例句待内容组补充（acomodar）。,acomodar.jpg,C2|v|变位|高级,专八,noción（待校对）,gitano（待校对）,nora（待校对）,词库自动生成_待内容组校对
quebrar,v,n/a,C2,,quebrar（待校对）,quebrar,Contexto: quebrar.,例句待内容组补充（quebrar）。,quebrar.jpg,C2|v|变位|高级,专八,arrebatar（待校对）,nicole（待校对）,capilla（待校对）,词库自动生成_待内容组校对
variado,adj,n/a,C2,,variado（待校对）,variado,Contexto: variado.,例句待内容组补充（variado）。,variado.jpg,C2|adj|高级,专八,psicópata（待校对）,tóxico（待校对）,allen（待校对）,词库自动生成_待内容组校对
residuo,n,m,C2,,residuo（待校对）,residuo,Contexto: residuo.,例句待内容组补充（residuo）。,residuo.jpg,C2|n|高级,专八,respiro（待校对）,kurt（待校对）,estándar（待校对）,词库自动生成_待内容组校对
mona,n,f,C2,,mona（待校对）,mona,Contexto: mona.,例句待内容组补充（mona）。,mona.jpg,C2|n|高级,专八,susurrar（待校对）,ausente（待校对）,convencional（待校对）,词库自动生成_待内容组校对
borracha,n,f,C2,,borracha（待校对）,borracha,Contexto: borracha.,例句待内容组补充（borracha）。,borracha.jpg,C2|n|高级,专八,imprescindible（待校对）,publicitario（待校对）,paco（待校对）,词库自动生成_待内容组校对
derrumbar,v,n/a,C2,,derrumbar（待校对）,derrumbar,Contexto: derrumbar.,例句待内容组补充（derrumbar）。,derrumbar.jpg,C2|v|变位|高级,专八,nicole（待校对）,diferenciar（待校对）,cintura（待校对）,词库自动生成_待内容组校对
ranchar,v,n/a,C2,,ranchar（待校对）,ranchar,Contexto: ranchar.,例句待内容组补充（ranchar）。,ranchar.jpg,C2|v|变位|高级,专八,perfección（待校对）,tóxico（待校对）,devorar（待校对）,词库自动生成_待内容组校对
calcetín,n,n/a,C2,,calcetín（待校对）,calcetín,Contexto: calcetín.,例句待内容组补充（calcetín）。,calcetín.jpg,C2|n|高级,专八,centenar（待校对）,gibbs（待校对）,allison（待校对）,词库自动生成_待内容组校对
farmacia,n,f,C2,,farmacia（待校对）,farmacia,Contexto: farmacia.,例句待内容组补充（farmacia）。,farmacia.jpg,C2|n|高级,专八,jabón（待校对）,noción（待校对）,triple（待校对）,词库自动生成_待内容组校对
arrodillar,v,n/a,C2,,arrodillar（待校对）,arrodillar,Contexto: arrodillar.,例句待内容组补充（arrodillar）。,arrodillar.jpg,C2|v|变位|高级,专八,bolivia（待校对）,antena（待校对）,voltear（待校对）,词库自动生成_待内容组校对
asilo,n,m,C2,,asilo（待校对）,asilo,Contexto: asilo.,例句待内容组补充（asilo）。,asilo.jpg,C2|n|高级,专八,bus（待校对）,cóctel（待校对）,seth（待校对）,词库自动生成_待内容组校对
mansión,n,f,C2,,mansión（待校对）,mansión,Contexto: mansión.,例句待内容组补充（mansión）。,mansión.jpg,C2|n|高级,专八,martillo（待校对）,bruno（待校对）,circular（待校对）,词库自动生成_待内容组校对
inocencia,n,f,C2,,inocencia（待校对）,inocencia,Contexto: inocencia.,例句待内容组补充（inocencia）。,inocencia.jpg,C2|n|高级,专八,相当,fundamento（待校对）,trama（待校对）,词库自动生成_待内容组校对
chimenea,n,f,C2,,chimenea（待校对）,chimenea,Contexto: chimenea.,例句待内容组补充（chimenea）。,chimenea.jpg,C2|n|高级,专八,repugnante（待校对）,sofisticado（待校对）,demostración（待校对）,词库自动生成_待内容组校对
polaco,adj,n/a,C2,,polaco（待校对）,polaco,Contexto: polaco.,例句待内容组补充（polaco）。,polaco.jpg,C2|adj|高级,专八,cretino（待校对）,defensivo（待校对）,crucero（待校对）,词库自动生成_待内容组校对
furia,n,f,C2,,furia（待校对）,furia,Contexto: furia.,例句待内容组补充（furia）。,furia.jpg,C2|n|高级,专八,filósofo（待校对）,sanción（待校对）,martillo（待校对）,词库自动生成_待内容组校对
bruno,n,m,C2,,bruno（待校对）,bruno,Contexto: bruno.,例句待内容组补充（bruno）。,bruno.jpg,C2|n|高级,专八,cintura（待校对）,optimista（待校对）,radar（待校对）,词库自动生成_待内容组校对
ingeniería,n,f,C2,,ingeniería（待校对）,ingeniería,Contexto: ingeniería.,例句待内容组补充（ingeniería）。,ingeniería.jpg,C2|n|高级,专八,all（待校对）,propina（待校对）,liam（待校对）,词库自动生成_待内容组校对
orina,n,f,C2,,orina（待校对）,orina,Contexto: orina.,例句待内容组补充（orina）。,orina.jpg,C2|n|高级,专八,contaminación（待校对）,insulto（待校对）,debilitar（待校对）,词库自动生成_待内容组校对
fanático,n,m,C2,,fanático（待校对）,fanático,Contexto: fanático.,例句待内容组补充（fanático）。,fanático.jpg,C2|n|高级,专八,criado（待校对）,repugnante（待校对）,quebrar（待校对）,词库自动生成_待内容组校对
black,adv,n/a,C2,,black（待校对）,black,Contexto: black.,例句待内容组补充（black）。,black.jpg,C2|adv|高级,专八,ebrio（待校对）,polaco（待校对）,asociar（待校对）,词库自动生成_待内容组校对
ecuador,n,m,C2,,ecuador（待校对）,ecuador,Contexto: ecuador.,例句待内容组补充（ecuador）。,ecuador.jpg,C2|n|高级,专八,correos（待校对）,coalición（待校对）,leonard（待校对）,词库自动生成_待内容组校对
iris,n,f,C2,,iris（待校对）,iris,Contexto: iris.,例句待内容组补充（iris）。,iris.jpg,C2|n|高级,专八,sofisticado（待校对）,estreno（待校对）,complicación（待校对）,词库自动生成_待内容组校对
cancha,n,f,C2,,cancha（待校对）,cancha,Contexto: cancha.,例句待内容组补充（cancha）。,cancha.jpg,C2|n|高级,专八,inocencia（待校对）,anfitrión（待校对）,compositor（待校对）,词库自动生成_待内容组校对
inyectar,v,n/a,C2,,inyectar（待校对）,inyectar,Contexto: inyectar.,例句待内容组补充（inyectar）。,inyectar.jpg,C2|v|变位|高级,专八,seleccionar（待校对）,expandir（待校对）,rencor（待校对）,词库自动生成_待内容组校对
intimidad,n,f,C2,,intimidad（待校对）,intimidad,Contexto: intimidad.,例句待内容组补充（intimidad）。,intimidad.jpg,C2|n|高级,专八,corrupto（待校对）,bodega（待校对）,despreciar（待校对）,词库自动生成_待内容组校对
presumir,v,n/a,C2,,presumir（待校对）,presumir,Contexto: presumir.,例句待内容组补充（presumir）。,presumir.jpg,C2|v|变位|高级,专八,guillermo（待校对）,puñado（待校对）,sutil（待校对）,词库自动生成_待内容组校对
finanza,n,f,C2,,finanza（待校对）,finanza,Contexto: finanza.,例句待内容组补充（finanza）。,finanza.jpg,C2|n|高级,专八,em（待校对）,b.（待校对）,liam（待校对）,词库自动生成_待内容组校对
tercio,n,m,C2,,tercio（待校对）,tercio,Contexto: tercio.,例句待内容组补充（tercio）。,tercio.jpg,C2|n|高级,专八,gratuito（待校对）,jinete（待校对）,pepe（待校对）,词库自动生成_待内容组校对
guillermo,n,m,C2,,guillermo（待校对）,guillermo,Contexto: guillermo.,例句待内容组补充（guillermo）。,guillermo.jpg,C2|n|高级,专八,latir（待校对）,borracha（待校对）,altamente（待校对）,词库自动生成_待内容组校对
clan,n,n/a,C2,,clan（待校对）,clan,Contexto: clan.,例句待内容组补充（clan）。,clan.jpg,C2|n|高级,专八,ebrio（待校对）,localizado（待校对）,portugal（待校对）,词库自动生成_待内容组校对
bus,n,n/a,C2,,bus（待校对）,bus,Contexto: bus.,例句待内容组补充（bus）。,bus.jpg,C2|n|高级,专八,demostración（待校对）,publicitario（待校对）,cancha（待校对）,词库自动生成_待内容组校对
shock,n,n/a,C2,,shock（待校对）,shock,Contexto: shock.,例句待内容组补充（shock）。,shock.jpg,C2|n|高级,专八,imperial（待校对）,terremoto（待校对）,sammy（待校对）,词库自动生成_待内容组校对
portada,n,f,C2,,portada（待校对）,portada,Contexto: portada.,例句待内容组补充（portada）。,portada.jpg,C2|n|高级,专八,maricón（待校对）,almacenar（待校对）,protector（待校对）,词库自动生成_待内容组校对
inflación,n,f,C2,,inflación（待校对）,inflación,Contexto: inflación.,例句待内容组补充（inflación）。,inflación.jpg,C2|n|高级,专八,humedad（待校对）,allen（待校对）,demostración（待校对）,词库自动生成_待内容组校对
vestuario,n,m,C2,,vestuario（待校对）,vestuario,Contexto: vestuario.,例句待内容组补充（vestuario）。,vestuario.jpg,C2|n|高级,专八,optimista（待校对）,derrumbar（待校对）,love（待校对）,词库自动生成_待内容组校对
vagabundo,n,m,C2,,vagabundo（待校对）,vagabundo,Contexto: vagabundo.,例句待内容组补充（vagabundo）。,vagabundo.jpg,C2|n|高级,专八,aparcar（待校对）,latir（待校对）,vodka（待校对）,词库自动生成_待内容组校对
estándar,adj,n/a,C2,,estándar（待校对）,estándar,Contexto: estándar.,例句待内容组补充（estándar）。,estándar.jpg,C2|adj|高级,专八,pino（待校对）,corrupto（待校对）,niñito（待校对）,词库自动生成_待内容组校对
seguimiento,n,m,C2,,seguimiento（待校对）,seguimiento,Contexto: seguimiento.,例句待内容组补充（seguimiento）。,seguimiento.jpg,C2|n|高级,专八,pino（待校对）,incorrecto（待校对）,grecia（待校对）,词库自动生成_待内容组校对
sudor,n,m,C2,,sudor（待校对）,sudor,Contexto: sudor.,例句待内容组补充（sudor）。,sudor.jpg,C2|n|高级,专八,telegrama（待校对）,intimidad（待校对）,psicópata（待校对）,词库自动生成_待内容组校对
complicación,n,f,C2,,complicación（待校对）,complicación,Contexto: complicación.,例句待内容组补充（complicación）。,complicación.jpg,C2|n|高级,专八,lane（待校对）,convento（待校对）,hongo（待校对）,词库自动生成_待内容组校对
natalie,adv,n/a,C2,,natalie（待校对）,natalie,Contexto: natalie.,例句待内容组补充（natalie）。,natalie.jpg,C2|adv|高级,专八,cretino（待校对）,presumir（待校对）,cordero（待校对）,词库自动生成_待内容组校对
escultura,n,f,C2,,escultura（待校对）,escultura,Contexto: escultura.,例句待内容组补充（escultura）。,escultura.jpg,C2|n|高级,专八,sueco（待校对）,farmacia（待校对）,liam（待校对）,词库自动生成_待内容组校对
repugnante,adj,n/a,C2,,repugnante（待校对）,repugnante,Contexto: repugnante.,例句待内容组补充（repugnante）。,repugnante.jpg,C2|adj|高级,专八,claudia（待校对）,numerar（待校对）,gitano（待校对）,词库自动生成_待内容组校对
we,n,n/a,C2,,we（待校对）,we,Contexto: we.,例句待内容组补充（we）。,we.jpg,C2|n|高级,专八,burbuja（待校对）,graham（待校对）,rana（待校对）,词库自动生成_待内容组校对
legislación,n,f,C2,,legislación（待校对）,legislación,Contexto: legislación.,例句待内容组补充（legislación）。,legislación.jpg,C2|n|高级,专八,martillo（待校对）,onu（待校对）,quizas（待校对）,词库自动生成_待内容组校对
trofeo,n,m,C2,,trofeo（待校对）,trofeo,Contexto: trofeo.,例句待内容组补充（trofeo）。,trofeo.jpg,C2|n|高级,专八,coser（待校对）,noción（待校对）,iris（待校对）,词库自动生成_待内容组校对
claudia,n,f,C2,,claudia（待校对）,claudia,Contexto: claudia.,例句待内容组补充（claudia）。,claudia.jpg,C2|n|高级,专八,a.（待校对）,rana（待校对）,determinación（待校对）,词库自动生成_待内容组校对
christine,adv,n/a,C2,,christine（待校对）,christine,Contexto: christine.,例句待内容组补充（christine）。,christine.jpg,C2|adv|高级,专八,insulto（待校对）,ausente（待校对）,seth（待校对）,词库自动生成_待内容组校对
sillón,n,n/a,C2,,sillón（待校对）,sillón,Contexto: sillón.,例句待内容组补充（sillón）。,sillón.jpg,C2|n|高级,专八,bandido（待校对）,vestuario（待校对）,ahorcar（待校对）,词库自动生成_待内容组校对
torpe,adj,n/a,C2,,torpe（待校对）,torpe,Contexto: torpe.,例句待内容组补充（torpe）。,torpe.jpg,C2|adj|高级,专八,defensivo（待校对）,subasta（待校对）,repugnante（待校对）,词库自动生成_待内容组校对
psicópata,n,f,C2,,psicópata（待校对）,psicópata,Contexto: psicópata.,例句待内容组补充（psicópata）。,psicópata.jpg,C2|n|高级,专八,salvación（待校对）,noción（待校对）,ideología（待校对）,词库自动生成_待内容组校对
determinación,n,f,C2,,determinación（待校对）,determinación,Contexto: determinación.,例句待内容组补充（determinación）。,determinación.jpg,C2|n|高级,专八,coalición（待校对）,paco（待校对）,corrupto（待校对）,词库自动生成_待内容组校对
granjero,n,m,C2,,granjero（待校对）,granjero,Contexto: granjero.,例句待内容组补充（granjero）。,granjero.jpg,C2|n|高级,专八,amistoso（待校对）,vergonzoso（待校对）,convocatoria（待校对）,词库自动生成_待内容组校对
