西语,义项,中文释义,图片文件名,配图提示词
falso amigo,1,假朋友词（形似义不同）,images/falso_amigo_1.png,教育插画风格，正方形 1:1 构图，明亮柔和色调，单一清晰主体，浅色干净背景，无文字、无水印、无 logo。画面表现：两个看起来相似却指向不同含义的词汇纸牌，中间画叉以示勿混
registro,1,语体；语域,images/registro_1.png,教育插画风格，正方形 1:1 构图，明亮柔和色调，单一清晰主体，浅色干净背景，无文字、无水印、无 logo。画面表现：并排两只手机/邮件界面：一正式一轻松（界面无具体可读文字）
oral,1,口头的,images/oral_1.png,教育插画风格，正方形 1:1 构图，明亮柔和色调，单一清晰主体，浅色干净背景，无文字、无水印、无 logo。画面表现：考官与考生面对面进行口语测试，桌上有计时器
escrito,1,书面的,images/escrito_1.png,教育插画风格，正方形 1:1 构图，明亮柔和色调，单一清晰主体，浅色干净背景，无文字、无水印、无 logo。画面表现：学生在考卷发上一篇作文，旁边放着橡皮与笔
puntuación,1,标点；得分,images/puntuacion_1.png,教育插画风格，正方形 1:1 构图，明亮柔和色调，单一清晰主体，浅色干净背景，无文字、无水印、无 logo。画面表现：放大的句子中突出逗号与问号等标点符号的插画
ortografía,1,拼写,images/ortografia_1.png,教育插画风格，正方形 1:1 构图，明亮柔和色调，单一清晰主体，浅色干净背景，无文字、无水印、无 logo。画面表现：单词上方正确标注重音符号，错误拼写被轻轻划掉
acento,1,重音；（书面）尖音符,images/acento_1.png,教育插画风格，正方形 1:1 构图，明亮柔和色调，单一清晰主体，浅色干净背景，无文字、无水印、无 logo。画面表现：单词音节划分并突出重读音节与尖音符
nivel,1,水平；等级,images/nivel_1.png,教育插画风格，正方形 1:1 构图，明亮柔和色调，单一清晰主体，浅色干净背景，无文字、无水印、无 logo。画面表现：阶梯状等级示意图从低到高，人物站在中间一级
progreso,1,进步；进展,images/progreso_1.png,教育插画风格，正方形 1:1 构图，明亮柔和色调，单一清晰主体，浅色干净背景，无文字、无水印、无 logo。画面表现：增长曲线图与打卡日历，旁边有学习勾选清单
objetivo,1,目标,images/objetivo_1.png,教育插画风格，正方形 1:1 构图，明亮柔和色调，单一清晰主体，浅色干净背景，无文字、无水印、无 logo。画面表现：箭靶中央命中，周围环绕单词卡片与小旗帜
estrategia,1,策略,images/estrategia_1.png,教育插画风格，正方形 1:1 构图，明亮柔和色调，单一清晰主体，浅色干净背景，无文字、无水印、无 logo。画面表现：学生先看目录式标题再打开正文，步骤用 1-2-3 小图标表示
recurso,1,资源,images/recurso_1.png,教育插画风格，正方形 1:1 构图，明亮柔和色调，单一清晰主体，浅色干净背景，无文字、无水印、无 logo。画面表现：耳机、平板电脑与笔记本组成的学习资源静物
diccionario,1,词典,images/diccionario_1.png,教育插画风格，正方形 1:1 构图，明亮柔和色调，单一清晰主体，浅色干净背景，无文字、无水印、无 logo。画面表现：翻开厚词典的特写，书签夹在词条页
facultad,1,（大学）学院,images/facultad_1.png,教育插画风格，正方形 1:1 构图，明亮柔和色调，单一清晰主体，浅色干净背景，无文字、无水印、无 logo。画面表现：大学学院楼前学生们走过，门楣有抽象校徽（无文字）
especialidad,1,专业,images/especialidad_1.png,教育插画风格，正方形 1:1 构图，明亮柔和色调，单一清晰主体，浅色干净背景，无文字、无水印、无 logo。画面表现：书架上语言与文化类书籍，桌上有地球仪指向西语地区
credencial,1,证件；学生证,images/credencial_1.png,教育插画风格，正方形 1:1 构图，明亮柔和色调，单一清晰主体，浅色干净背景，无文字、无水印、无 logo。画面表现：手持学生证卡片，背景是图书馆入口
beca,1,奖学金,images/beca_1.png,教育插画风格，正方形 1:1 构图，明亮柔和色调，单一清晰主体，浅色干净背景，无文字、无水印、无 logo。画面表现：奖学金信封与录取通知意象，背景有大学建筑剪影
intercambio académico,1,学术交流；交换学习,images/intercambio_academico_1.png,教育插画风格，正方形 1:1 构图，明亮柔和色调，单一清晰主体，浅色干净背景，无文字、无水印、无 logo。画面表现：行李箱、护照与校园钥匙，象征出国交换
hospedaje,1,住宿,images/hospedaje_1.png,教育插画风格，正方形 1:1 构图，明亮柔和色调，单一清晰主体，浅色干净背景，无文字、无水印、无 logo。画面表现：简洁学生宿舍内景：床、书桌与小窗
alquilar,1,租借；租赁,images/alquilar_1.png,教育插画风格，正方形 1:1 构图，明亮柔和色调，单一清晰主体，浅色干净背景，无文字、无水印、无 logo。画面表现：中介钥匙交给租客，背景是公寓楼外观
presupuesto,1,预算,images/presupuesto_1.png,教育插画风格，正方形 1:1 构图，明亮柔和色调，单一清晰主体，浅色干净背景，无文字、无水印、无 logo。画面表现：笔记本上分类账目与硬币、计算器的静物构图
trámites,1,手续（常用复数）,images/tramites_1.png,教育插画风格，正方形 1:1 构图，明亮柔和色调，单一清晰主体，浅色干净背景，无文字、无水印、无 logo。画面表现：文件袋、表格与印章图标排成办事流程
cita,1,预约；（也指）约会,images/cita_1.png,教育插画风格，正方形 1:1 构图，明亮柔和色调，单一清晰主体，浅色干净背景，无文字、无水印、无 logo。画面表现：行政窗口叫号屏幕与拿号票的学生
cita,2,引文；引用,images/cita_2.png,教育插画风格，正方形 1:1 构图，明亮柔和色调，单一清晰主体，浅色干净背景，无文字、无水印、无 logo。画面表现：论文脚注区域特写，引号与参考文献卡片
plagio,1,剽窃,images/plagio_1.png,教育插画风格，正方形 1:1 构图，明亮柔和色调，单一清晰主体，浅色干净背景，无文字、无水印、无 logo。画面表现：两页文本高度雷同被放大镜标出，警示教育插画（非恐吓）
