西语,义项,中文释义,图片文件名,配图提示词
globalización,1,全球化,images/globalizacion_1.png,教育插画风格，正方形 1:1 构图，明亮柔和色调，单一清晰主体，浅色干净背景，无文字、无水印、无 logo。画面表现：地球网格连接多个城市光点，柔和而非冷冰冰
migración,1,移民；迁徙,images/migracion_1.png,教育插画风格，正方形 1:1 构图，明亮柔和色调，单一清晰主体，浅色干净背景，无文字、无水印、无 logo。画面表现：年轻人背着背包站在机场落地窗前望向新城市
identidad,1,身份；认同,images/identidad_1.png,教育插画风格，正方形 1:1 构图，明亮柔和色调，单一清晰主体，浅色干净背景，无文字、无水印、无 logo。画面表现：人物剪影由多元文化纹理拼贴而成，温暖尊重
diversidad,1,多样性,images/diversidad_1.png,教育插画风格，正方形 1:1 构图，明亮柔和色调，单一清晰主体，浅色干净背景，无文字、无水印、无 logo。画面表现：多彩丝带编织成一张网，象征多元共存
patrimonio,1,遗产（文化）,images/patrimonio_1.png,教育插画风格，正方形 1:1 构图，明亮柔和色调，单一清晰主体，浅色干净背景，无文字、无水印、无 logo。画面表现：传统手工艺人向年轻人传授技艺的温馨场景
memoria histórica,1,历史记忆,images/memoria_historica_1.png,教育插画风格，正方形 1:1 构图，明亮柔和色调，单一清晰主体，浅色干净背景，无文字、无水印、无 logo。画面表现：档案馆与老照片相册被当代青年翻阅（无具体政治人物）
ética,1,伦理,images/etica_1.png,教育插画风格，正方形 1:1 构图，明亮柔和色调，单一清晰主体，浅色干净背景，无文字、无水印、无 logo。画面表现：天平与报纸结合的简洁象征，强调核实与责任
sesgo,1,偏见；偏差,images/sesgo_1.png,教育插画风格，正方形 1:1 构图，明亮柔和色调，单一清晰主体，浅色干净背景，无文字、无水印、无 logo。画面表现：倾斜的天平与放大镜检视新闻剪报
fuente,1,来源；（也指）泉水,images/fuente_1.png,教育插画风格，正方形 1:1 构图，明亮柔和色调，单一清晰主体，浅色干净背景，无文字、无水印、无 logo。画面表现：文献卡片指向原始数据报告的引用链条示意
fuente,2,泉水；喷泉,images/fuente_2.png,教育插画风格，正方形 1:1 构图，明亮柔和色调，单一清晰主体，浅色干净背景，无文字、无水印、无 logo。画面表现：阳光下的城市广场喷泉，周围有石凳与鸽子
tesis,1,论点；（亦指）学位论文,images/tesis_1.png,教育插画风格，正方形 1:1 构图，明亮柔和色调，单一清晰主体，浅色干净背景，无文字、无水印、无 logo。画面表现：论文封面与核心论断卡片被钉在研究板上
tesis,2,学位论文,images/tesis_2.png,教育插画风格，正方形 1:1 构图，明亮柔和色调，单一清晰主体，浅色干净背景，无文字、无水印、无 logo。画面表现：答辩教室里候选人答辩、委员提问的正式场景
abstract,1,摘要（学术论文）,images/abstract_1.png,教育插画风格，正方形 1:1 构图，明亮柔和色调，单一清晰主体，浅色干净背景，无文字、无水印、无 logo。画面表现：论文首页顶部的摘要区块被高亮框出
conclusión,1,结论,images/conclusion_1.png,教育插画风格，正方形 1:1 构图，明亮柔和色调，单一清晰主体，浅色干净背景，无文字、无水印、无 logo。画面表现：通往山顶旗帜的小路，象征得出结论
matiz,1,细微差别；语感差别,images/matiz_1.png,教育插画风格，正方形 1:1 构图，明亮柔和色调，单一清晰主体，浅色干净背景，无文字、无水印、无 logo。画面表现：色阶色卡显示细微色差，隐喻词语的语感差别
precisión,1,精确；精准,images/precision_1.png,教育插画风格，正方形 1:1 构图，明亮柔和色调，单一清晰主体，浅色干净背景，无文字、无水印、无 logo。画面表现：游标卡尺般精确对齐词义天平的插画
concisión,1,简洁,images/concision_1.png,教育插画风格，正方形 1:1 构图，明亮柔和色调，单一清晰主体，浅色干净背景，无文字、无水印、无 logo。画面表现：冗长段落被精炼成短句的前后对比示意
redundancia,1,冗余；重复累赘,images/redundancia_1.png,教育插画风格，正方形 1:1 构图，明亮柔和色调，单一清晰主体，浅色干净背景，无文字、无水印、无 logo。画面表现：堆叠重复方块被删减编辑，留下精简结构
eufemismo,1,委婉语,images/eufemismo_1.png,教育插画风格，正方形 1:1 构图，明亮柔和色调，单一清晰主体，浅色干净背景，无文字、无水印、无 logo。画面表现：尖锐词语被软布轻轻裹住的象征插画，温和教育风
tabú lingüístico,1,语言禁忌,images/tabu_linguistico_1.png,教育插画风格，正方形 1:1 构图，明亮柔和色调，单一清晰主体，浅色干净背景，无文字、无水印、无 logo。画面表现：嘴唇前竖起安静手势，背景词语淡出，非恐吓表现
