lemma,pos,gender,level,sense,ipa,meaning_zh,meaning_en,example_es,example_zh,image_file,tags,exam_tags,distractor_1,distractor_2,distractor_3,copyright_note
bilingüismo,n,m,B2,1,,双语能力；双语现象,,El bilingüismo no implica dominio perfecto de ambas lenguas en todos los registros.,双语并不意味着两种语言在一切语体上都完美精通。,bilinguismo_1.jpg,考试路径|B2|n,专八,反讽；讽刺,列举,来源；（也指）泉水,大创内容组_senses_table_tem8_with_images.xlsx
categoría,n,f,B2,1,,范畴；类别,,Hay que definir cada categoría con precisión.,必须精确界定每一范畴。,categoria_1.jpg,考试路径|B2|n,专八,人口学；人口结构,评价；评估,界定；划界,大创内容组_words_tem8.csv
causalidad,n,f,B2,1,,因果关系,,Correlación no implica necesariamente causalidad.,相关并不必然意味着因果。,causalidad_1.jpg,考试路径|B2|n,专八,书评；简介性评论,类比,共识,大创内容组_words_tem8.csv
cláusula,n,f,B2,1,,从句；条款,,Analiza la cláusula subordinada del periodo.,分析该句中的从属从句。,clausula_1.jpg,考试路径|B2|n,专八,范畴；类别,释义；改写,论证；论述,大创内容组_words_tem8.csv
codificación,n,f,B2,1,,编码,,La codificación de los datos sigue un protocolo.,数据编码遵循协议。,codificacion_1.jpg,考试路径|B2|n,专八,形态学,指控；控告,因果关系,大创内容组_words_tem8.csv
cognición,n,f,B2,1,,认知,,La cognición humana procesa el lenguaje en red.,人类认知以网络方式处理语言。,cognicion_1.jpg,考试路径|B2|n,专八,迁移；转移,词素,概括,大创内容组_words_tem8.csv
coherencia,n,f,B2,1,,连贯；条理,,La coherencia textual depende de que cada párrafo avance la idea central sin contradicciones.,篇章连贯取决于每一段推进中心思想且不自相矛盾。,coherencia_1.jpg,考试路径|B2|n,专八,演绎,方法；进路；接近,分歧；分化,大创内容组_senses_table_tem8_with_images.xlsx
cohesión,n,f,B2,1,,衔接（语言学术语）,,Los pronombres y los conectores aportan cohesión al unir oraciones dentro del mismo párrafo.,代词与连接词通过把句间关系连起来，带来篇章衔接。,cohesion_1.jpg,考试路径|B2|n,专八,惯例；公约,指控；控告,稳定性,大创内容组_senses_table_tem8_with_images.xlsx
colonización,n,f,B2,1,,殖民,,La colonización dejó huellas lingüísticas profundas.,殖民留下深刻的语言痕迹。,colonizacion_1.jpg,考试路径|B2|n,专八,说服；劝说,对照；对立设置,泉水；喷泉,大创内容组_words_tem8.csv
competencia,n,f,B2,1,,能力；（语言）能力,,"La competencia comunicativa incluye saber qué decir, cómo decirlo y cuándo callar.",交际能力包括知道说什么、怎么说，以及何时保持沉默。,competencia_1.jpg,考试路径|B2|n,专八,方法；进路；接近,分化；区分,同义关系,大创内容组_senses_table_tem8_with_images.xlsx
competencia,n,f,B2,2,,竞争；竞赛,,"La competencia entre empresas tecnológicas acelera la innovación, pero también genera presión laboral.",科技企业间的竞争加速创新，但也带来职场压力。,competencia_2.jpg,考试路径|B2|n,专八,调查,语音学,证据,大创内容组_senses_table_tem8_with_images.xlsx
complejidad,n,f,B2,1,,复杂性,,La complejidad del fenómeno exige varios enfoques.,现象的复杂性要求多种方法。,complejidad_1.jpg,考试路径|B2|n,专八,从句；条款,分化；区分,风格；文风,大创内容组_words_tem8.csv
compromiso,n,m,B2,1,,承诺；介入,,El texto muestra un compromiso ético.,文本显示出伦理介入。,compromiso_1.jpg,考试路径|B2|n,专八,竞争；竞赛,附录,类型学；分类,大创内容组_words_tem8.csv
conciliación,n,f,B2,1,,调解；和解,,Buscan la conciliación de intereses opuestos.,他们寻求对立利益的和解。,conciliacion_1.jpg,考试路径|B2|n,专八,人工制品；产物,构型；配置,同义关系,大创内容组_words_tem8.csv
conclusión,n,f,B2,1,,结论,,En la conclusión no introduzcas datos nuevos; resume y señala límites o futuras líneas de trabajo.,结论部分不要引入新数据；应总结并指出局限或未来研究方向。,conclusion_1.jpg,考试路径|B2|n,专八,构型；配置,双语能力；双语现象,术语,大创内容组_senses_table_tem8_with_images.xlsx
configuración,n,f,B2,1,,构型；配置,,Analizamos la configuración del relato.,我们分析叙事构型。,configuracion_1.jpg,考试路径|B2|n,专八,视角；观点,论证；论述,同音/同形异义词,大创内容组_words_tem8.csv
consenso,n,m,B2,1,,共识,,No hay consenso sobre la definición.,关于定义尚无共识。,consenso_1.jpg,考试路径|B2|n,专八,叙事；叙事作品,释义；改写,证据,大创内容组_words_tem8.csv
consistencia,n,f,B2,1,,一致性；连贯严谨,,La consistencia argumentativa es esencial.,论证一致性至关重要。,consistencia_1.jpg,考试路径|B2|n,专八,移民；迁徙,界定；划界,细化；限定说法,大创内容组_words_tem8.csv
contaminación,n,f,B2,1,,污染；（也指）干扰,,Hay contaminación entre variedades en contacto.,接触中的变体之间存在干扰。,contaminacion_1.jpg,考试路径|B2|n,专八,暗指；典故式提及,假设；假说,词素,大创内容组_words_tem8.csv
contextualizar,v,n/a,B2,1,,置于语境；语境化,,Hay que contextualizar la cita antes de analizarla.,分析引文前须先置于语境。,contextualizar_1.jpg,考试路径|B2|v,专八,可持续性,评论；批评,污染；（也指）干扰,大创内容组_words_tem8.csv
contradicción,n,f,B2,1,,矛盾,,El texto cae en contradicción entre el primer y el último párrafo.,文本在首段与末段之间自相矛盾。,contradiccion_1.jpg,考试路径|B2|n,专八,概括,界定；划界,释义；改写,大创内容组_words_tem8.csv
contraposición,n,f,B2,1,,对照；对立设置,,La contraposición de personajes estructura la novela.,人物对照构成小说结构。,contraposicion_1.jpg,考试路径|B2|n,专八,构型；配置,术语,细化；限定说法,大创内容组_words_tem8.csv
convención,n,f,B2,1,,惯例；公约,,Rompe la convención narrativa del final cerrado.,它打破封闭结局的叙事惯例。,convencion_1.jpg,考试路径|B2|n,专八,变异；变体差异,连贯；条理,相关；相关性,大创内容组_words_tem8.csv
correlación,n,f,B2,1,,相关；相关性,,Hay correlación entre horas de estudio y rendimiento.,学习时长与成绩之间存在相关。,correlacion_1.jpg,考试路径|B2|n,专八,共情,反驳,新词,大创内容组_words_tem8.csv
corroborar,v,n/a,B2,1,,证实；确证,,Los datos corroboran la hipótesis.,数据证实了该假设。,corroborar_1.jpg,考试路径|B2|v,专八,构型；配置,说服；劝说,衔接（语言学术语）,大创内容组_words_tem8.csv
credibilidad,n,f,B2,1,,可信度,,La fuente pierde credibilidad sin referencias.,缺少出处会降低来源可信度。,credibilidad_1.jpg,考试路径|B2|n,专八,期待,殖民,评价；评估,大创内容组_words_tem8.csv
criterio,n,m,B2,1,,标准；准则,,Hay que definir criterios claros de evaluación.,必须明确评价标准。,criterio_1.jpg,考试路径|B2|n,专八|专四,矛盾,界定；划界,学术语体,大创内容组_words_tem8.csv
crítica,n,f,B2,1,,评论；批评,,"La crítica literaria no solo juzga si un libro «gusta», sino cómo construye sentido y estilo.",文学批评不只判断书是否「好看」，还分析它如何构建意义与风格。,critica_1.jpg,考试路径|B2|n,专八,界定；划界,说明文；陈述,竞争；竞赛,大创内容组_senses_table_tem8_with_images.xlsx
cuestionario,n,m,B2,1,,问卷,,El cuestionario mide actitudes lingüísticas.,问卷测量语言态度。,cuestionario_1.jpg,考试路径|B2|n,专八,语音学,泉水；喷泉,反讽；讽刺,大创内容组_words_tem8.csv
deducción,n,f,B2,1,,演绎,,La deducción parte de premisas generales.,演绎从一般前提出发。,deduccion_1.jpg,考试路径|B2|n,专八|专四,问卷,概括,人口学；人口结构,大创内容组_words_tem8.csv
delimitación,n,f,B2,1,,界定；划界,,La delimitación del objeto de estudio es clave.,研究对象的界定很关键。,delimitacion_1.jpg,考试路径|B2|n,专八,反驳；驳论,表述；话语单位,推断；推理,大创内容组_words_tem8.csv
demografía,n,f,B2,1,,人口学；人口结构,,La demografía explica cambios en el uso lingüístico.,人口结构解释语言使用变化。,demografia_1.jpg,考试路径|B2|n,专八,口译；解读,遗产（文化）,双语能力；双语现象,大创内容组_words_tem8.csv
desplazamiento,n,m,B2,1,,迁移；转移,,El desplazamiento semántico altera el significado.,语义转移改变意义。,desplazamiento_1.jpg,考试路径|B2|n,专八,环境；语境环境,断言；肯定说法,说服；劝说,大创内容组_words_tem8.csv
dialecto,n,m,B2,1,,方言,,El andaluz es un dialecto del español peninsular.,安达卢西亚语是半岛西班牙语的一种方言。,dialecto_1.jpg,考试路径|B2|n,专八,污染；（也指）干扰,身份；认同,释义；改写,大创内容组_words_tem8.csv
dicotomía,n,f,B2,1,,二分法,,Evita una dicotomía demasiado rígida.,避免过于僵硬的二分。,dicotomia_1.jpg,考试路径|B2|n,专八,结论,衔接（语言学术语）,编码,大创内容组_words_tem8.csv
diferenciación,n,f,B2,1,,分化；区分,,Hay diferenciación estilística entre géneros.,体裁之间存在风格分化。,diferenciacion_1.jpg,考试路径|B2|n,专八,认知,风格；文风,类比,大创内容组_words_tem8.csv
discurso,n,m,B2,1,,话语；演说,,El discurso político usa metáforas y repeticiones para persuadir a una audiencia diversa.,政治演说运用隐喻与重复，以说服多元听众。,discurso_1.jpg,考试路径|B2|n,专八,论点；（亦指）学位论文,学术语体,结论,大创内容组_senses_table_tem8_with_images.xlsx
distribución,n,f,B2,1,,分布,,Estudiamos la distribución geográfica del rasgo.,我们研究该特征的地理分布。,distribucion_1.jpg,考试路径|B2|n,专八,假设的；假想的,视角；观点,反驳,大创内容组_words_tem8.csv
divergencia,n,f,B2,1,,分歧；分化,,La divergencia dialectal aumenta con la distancia.,方言分歧随距离增大。,divergencia_1.jpg,考试路径|B2|n,专八,新词,民族志,反驳,大创内容组_words_tem8.csv
diversidad,n,f,B2,1,,多样性,,La diversidad lingüística del mundo hispánico es un patrimonio que conviene preservar y estudiar.,西语世界的语言多样性是值得保护与研究的遗产。,diversidad_1.jpg,考试路径|B2|n,专八,共识,列举,污名,大创内容组_senses_table_tem8_with_images.xlsx
documentación,n,f,B2,1,,文献；文档工作,,La documentación de lenguas en peligro es urgente.,濒危语言文献工作紧迫。,documentacion_1.jpg,考试路径|B2|n,专八,解释,环境；语境环境,问卷,大创内容组_words_tem8.csv
elaboración,n,f,B2,1,,加工；阐述,,La elaboración del argumento requiere ejemplos.,论证的阐述需要例子。,elaboracion_1.jpg,考试路径|B2|n,专八,双语能力；双语现象,指控；控告,泉水；喷泉,大创内容组_words_tem8.csv
elipsis,n,f,B2,1,,省略,,La elipsis evita repeticiones innecesarias.,省略避免不必要的重复。,elipsis_1.jpg,考试路径|B2|n,专八,对照；对立设置,共情,认知,大创内容组_words_tem8.csv
empatía,n,f,B2,1,,共情,,La empatía del narrador acerca al lector.,叙述者的共情拉近读者。,empatia_1.jpg,考试路径|B2|n,专八,综合；综述,口译；解读,表述；话语单位,大创内容组_words_tem8.csv
encuesta,n,f,B2,1,,调查,,La encuesta recoge datos de percepción.,调查收集感知数据。,encuesta_1.jpg,考试路径|B2|n,专八,指控；控告,说明文；陈述,置于语境；语境化,大创内容组_words_tem8.csv
enfoque,n,m,B2,1,,切入角度；方法焦点,,El enfoque comunicativo prioriza el uso real de la lengua frente a la memorización de reglas.,交际法优先真实使用语言，而非死记规则。,enfoque_1.jpg,考试路径|B2|n,专八,考古学,论证；论述,编码,大创内容组_senses_table_tem8_with_images.xlsx
entorno,n,m,B2,1,,环境；语境环境,,El entorno sociolingüístico condiciona el habla.,社会语言环境制约说话方式。,entorno_1.jpg,考试路径|B2|n,专八,标准；准则,分歧；分化,能力；（语言）能力,大创内容组_words_tem8.csv
enumeración,n,f,B2,1,,列举,,La enumeración refuerza la idea principal.,列举强化中心思想。,enumeracion_1.jpg,考试路径|B2|n,专八,因果关系,竞争；竞赛,复杂性,大创内容组_words_tem8.csv
enunciado,n,m,B2,1,,表述；话语单位,,Cada enunciado realiza un acto de habla en contexto.,每个表述在语境中完成一个言语行为。,enunciado_1.jpg,考试路径|B2|n,专八,对等,推断；推理,竞争；竞赛,大创内容组_words_tem8.csv
equivalencia,n,f,B2,1,,对等,,Busca equivalencia funcional en la traducción.,翻译中寻求功能对等。,equivalencia_1.jpg,考试路径|B2|n,专八,从句；条款,论点；（亦指）学位论文,证据,大创内容组_words_tem8.csv
escala,n,f,B2,1,,量表；尺度,,Usamos una escala Likert de cinco puntos.,我们使用五点李克特量表。,escala_1.jpg,考试路径|B2|n,专八,隐喻,术语表,精确；精准,大创内容组_words_tem8.csv
estabilidad,n,f,B2,1,,稳定性,,La norma busca estabilidad ortográfica.,规范追求拼写稳定。,estabilidad_1.jpg,考试路径|B2|n,专八,分化；区分,概括,二分法,大创内容组_words_tem8.csv
estigma,n,m,B2,1,,污名,,El estigma lingüístico afecta a hablantes.,语言污名影响使用者。,estigma_1.jpg,考试路径|B2|n,专八,学术语体,反义关系,共情,大创内容组_words_tem8.csv
estilo,n,m,B2,1,,风格；文风,,"El estilo del autor se reconoce por frases largas, adjetivos precisos y un humor contenido.",作者的文风以长句、精确形容词与克制的幽默为特征。,estilo_1.jpg,考试路径|B2|n,专八,人工制品；产物,范畴；类别,术语表,大创内容组_senses_table_tem8_with_images.xlsx
etnografía,n,f,B2,1,,民族志,,La etnografía observa prácticas situadas.,民族志观察情境中的实践。,etnografia_1.jpg,考试路径|B2|n,专八,相关；相关性,界定；划界,形态学,大创内容组_words_tem8.csv
evaluación,n,f,B2,1,,评价；评估,,La evaluación formativa guía el aprendizaje.,形成性评价引导学习。,evaluacion_1.jpg,考试路径|B2|n,专八|专四,形态学,矛盾,考古学,大创内容组_words_tem8.csv
evidencia,n,f,B2,1,,证据,,La evidencia empírica respalda la hipótesis principal.,经验证据支持主要假设。,evidencia_1.jpg,考试路径|B2|n,专八,衔接（语言学术语）,泉水；喷泉,构型；配置,大创内容组_words_tem8.csv
expectativa,n,f,B2,1,,期待,,Rompe la expectativa del lector.,它打破了读者的期待。,expectativa_1.jpg,考试路径|B2|n,专八,民族志,相关；相关性,评论；批评,大创内容组_words_tem8.csv
explicación,n,f,B2,1,,解释,,La explicación aclara el procedimiento.,解释澄清了步骤。,explicacion_1.jpg,考试路径|B2|n,专八,方法论；方法,认知,断言；肯定说法,大创内容组_words_tem8.csv
exposición,n,f,B2,1,,说明文；陈述,,La exposición presenta hechos con claridad.,说明文清晰陈述事实。,exposicion_1.jpg,考试路径|B2|n,专八|专四,反义关系,切入角度；方法焦点,口译；解读,大创内容组_words_tem8.csv
fiabilidad,n,f,B2,1,,信度,,Comprobamos la fiabilidad del instrumento.,我们检验工具信度。,fiabilidad_1.jpg,考试路径|B2|n,专八,断言；肯定说法,风格；文风,变异；变体差异,大创内容组_words_tem8.csv
fonética,n,f,B2,1,,语音学,,La fonética describe cómo se producen los sonidos.,语音学描述语音如何发出。,fonetica_1.jpg,考试路径|B2|n,专八,新词,学术语体,概括,大创内容组_words_tem8.csv
fragmentación,n,f,B2,1,,碎片化,,La fragmentación narrativa refleja crisis.,叙事碎片化反映危机。,fragmentacion_1.jpg,考试路径|B2|n,专八,假设的；假想的,结论,双语能力；双语现象,大创内容组_words_tem8.csv
fuente,n,f,B2,1,,来源；（也指）泉水,,Cita siempre la fuente primaria cuando uses datos estadísticos en tu trabajo de investigación.,在研究作业中使用统计数据时，务必引用原始来源。,fuente_1.jpg,考试路径|B2|n,专八,同音/同形异义词,分化；区分,文献；文档工作,大创内容组_senses_table_tem8_with_images.xlsx
fuente,n,f,B2,2,,泉水；喷泉,,Nos sentamos junto a la fuente de la plaza mientras repasábamos las preguntas del examen oral.,我们坐在广场喷泉旁复习口语考试的问题。,fuente_2.jpg,考试路径|B2|n,专八,省略,人口学；人口结构,反义关系,大创内容组_senses_table_tem8_with_images.xlsx
generalización,n,f,B2,1,,概括,,Evita generalizaciones apresuradas.,避免仓促概括。,generalizacion_1.jpg,考试路径|B2|n,专八,全球化,反驳,一致性；连贯严谨,大创内容组_words_tem8.csv
globalización,n,f,B2,1,,全球化,,"La globalización facilita el intercambio cultural, aunque también plantea retos a las identidades locales.",全球化促进文化交流，同时也给地方认同带来挑战。,globalizacion_1.jpg,考试路径|B2|n,专八,类比,标准；准则,话语；演说,大创内容组_senses_table_tem8_with_images.xlsx
glosario,n,m,B2,1,,术语表,,El glosario define los términos técnicos del capítulo.,术语表界定本章技术用语。,glosario_1.jpg,考试路径|B2|n,专八,多样性,细化；限定说法,污染；（也指）干扰,大创内容组_words_tem8.csv
hipotético,adj,n/a,B2,1,,假设的；假想的,,Partimos de un escenario hipotético para el debate.,我们从假想情景展开辩论。,hipotetico_1.jpg,考试路径|B2|adj,专八,人口学；人口结构,隐喻,对照；对立设置,大创内容组_words_tem8.csv
hipótesis,n,f,B2,1,,假设；假说,,La hipótesis del estudio sostiene que el contacto frecuente con hablantes nativos acelera la fluidez.,该研究假设：与母语者频繁接触会加快流利度提升。,hipotesis_1.jpg,考试路径|B2|n,专八,口译；解读,文献；文档工作,期待,大创内容组_senses_table_tem8_with_images.xlsx
homónimo,n,m,B2,1,,同音/同形异义词,,"«Banco» (asiento) y «banco» (entidad financiera) son homónimos: misma forma, sentidos distintos.",banco（长凳）与 banco（金融机构）是同形异义词：形式相同、意义不同。,homonimo_1.jpg,考试路径|B2|n,专八,分化；区分,假设；假说,细化；限定说法,大创内容组_senses_table_tem8_with_images.xlsx
identidad,n,f,B2,1,,身份；认同,,"La identidad cultural se construye con la lengua, la memoria familiar y las prácticas cotidianas.",文化认同由语言、家庭记忆与日常实践共同建构。,identidad_1.jpg,考试路径|B2|n,专八,解释,污名,二分法,大创内容组_senses_table_tem8_with_images.xlsx
inferencia,n,f,B2,1,,推断；推理,,"Aunque el texto no lo diga explícitamente, por inferencia entendemos que el personaje está en crisis.",虽然文本未明说，通过推断我们明白人物正陷入危机。,inferencia_1.jpg,考试路径|B2|n,专八,评价；评估,新词,惯例；公约,大创内容组_senses_table_tem8_with_images.xlsx
innovación,n,f,B2,1,,创新,,"La innovación educativa no es solo usar apps, sino rediseñar actividades para un aprendizaje activo.",教育创新不只是用 App，而是重新设计活动以促进主动学习。,innovacion_1.jpg,考试路径|B2|n,专八,口译；解读,来源；（也指）泉水,标准；准则,大创内容组_senses_table_tem8_with_images.xlsx
interpretación,n,f,B2,1,,口译；解读,,Su interpretación del poema destaca el tono irónico.,他对这首诗的解读突出了反讽语气。,interpretacion_1.jpg,考试路径|B2|n,专八|专四,暗指；典故式提及,多样性,省略,大创内容组_words_tem8.csv
ironía,n,f,B2,1,,反讽；讽刺,,La ironía del personaje aparece cuando dice lo contrario de lo que realmente piensa.,当人物说的与真实想法相反时，反讽便出现了。,ironia_1.jpg,考试路径|B2|n,专八,推断；推理,身份；认同,反驳；驳论,大创内容组_senses_table_tem8_with_images.xlsx
matizar,v,n/a,B2,1,,细化；限定说法,,Conviene matizar la afirmación para no generalizar en exceso.,宜对说法加以限定，以免过度概括。,matizar_1.jpg,考试路径|B2|v,专八,考古学,创新,解释,大创内容组_words_tem8.csv
metodología,n,f,B2,1,,方法论；方法,,La metodología combina análisis cuantitativo de corpus y entrevistas cualitativas a aprendices.,该方法论结合语料库定量分析与对学习者的定性访谈。,metodologia_1.jpg,考试路径|B2|n,专八,能力；（语言）能力,遗产（文化）,反义关系,大创内容组_senses_table_tem8_with_images.xlsx
metáfora,n,f,B2,1,,隐喻,,La metáfora «el tiempo es oro» presenta el tiempo como un recurso valioso que no debe malgastarse.,隐喻「时间就是金钱」把时间呈现为不应浪费的宝贵资源。,metafora_1.jpg,考试路径|B2|n,专八,变异；变体差异,连贯；条理,承诺；介入,大创内容组_senses_table_tem8_with_images.xlsx
migración,n,f,B2,1,,移民；迁徙,,La migración por estudios es común entre universitarios que buscan experiencias internacionales.,出于求学原因的迁移在寻求国际体验的大学生中很常见。,migracion_1.jpg,考试路径|B2|n,专八,可信度,变异；变体差异,术语,大创内容组_senses_table_tem8_with_images.xlsx
morfema,n,m,B2,1,,词素,,«-ción» es un morfema derivativo frecuente en español.,-ción 是西班牙语中常见的派生词素。,morfema_1.jpg,考试路径|B2|n,专八,语音学,评论；批评,解释,大创内容组_words_tem8.csv
morfología,n,f,B2,1,,形态学,,"La morfología analiza raíces, prefijos y sufijos.",形态学分析词根、前缀与后缀。,morfologia_1.jpg,考试路径|B2|n,专八,认知,双语能力；双语现象,说服；劝说,大创内容组_words_tem8.csv
narrativa,n,f,B2,1,,叙事；叙事作品,,En la narrativa contemporánea el narrador a veces es poco fiable y obliga al lector a interpretar.,在当代叙事中，叙述者有时不可靠，迫使读者自行解读。,narrativa_1.jpg,考试路径|B2|n,专八,信度,对照；对立设置,污名,大创内容组_senses_table_tem8_with_images.xlsx
neologismo,n,m,B2,1,,新词,,«Selfie» es un neologismo que se ha extendido globalmente.,selfie 是一个已全球流行的新词。,neologismo_1.jpg,考试路径|B2|n,专八,污名,隐喻,说服；劝说,大创内容组_words_tem8.csv
paráfrasis,n,f,B2,1,,释义；改写,,Haz una paráfrasis del párrafo sin copiar las mismas palabras.,用不同措辞改写该段，不要照抄原词。,parafrasis_1.jpg,考试路径|B2|n,专八,切入角度；方法焦点,可信度,分化；区分,大创内容组_words_tem8.csv
patrimonio,n,m,B2,1,,遗产（文化）,,"El patrimonio inmaterial incluye danzas, oficios y saberes transmitidos de generación en generación.",非物质文化遗产包括代代相传的舞蹈、手艺与知识。,patrimonio_1.jpg,考试路径|B2|n,专八,共识,反驳；驳论,分歧；分化,大创内容组_senses_table_tem8_with_images.xlsx
perspectiva,n,f,B2,1,,视角；观点,,Cambiar de perspectiva nos hace ver el conflicto desde el lado de las personas afectadas.,转换视角能让我们从受影响者一方去看这场冲突。,perspectiva_1.jpg,考试路径|B2|n,专八,解释,类型学；分类,惯例；公约,大创内容组_senses_table_tem8_with_images.xlsx
persuasión,n,f,B2,1,,说服；劝说,,La publicidad usa estrategias de persuasión visual y verbal.,广告运用视觉与语言的说服策略。,persuasion_1.jpg,考试路径|B2|n,专八,复杂性,认知,可持续性,大创内容组_words_tem8.csv
pragmática,n,f,B2,1,,语用学,,La pragmática estudia cómo el contexto afecta el significado.,语用学研究语境如何影响意义。,pragmatica_1.jpg,考试路径|B2|n,专八,伦理,评论；批评,书评；简介性评论,大创内容组_words_tem8.csv
precisión,n,f,B2,1,,精确；精准,,La precisión léxica distingue a un texto avanzado de una redacción solo «comprensible».,词汇精确度把高级文本与仅仅「能看懂」的作文区分开。,precision_1.jpg,考试路径|B2|n,专八,视角；观点,期待,细化；限定说法,大创内容组_senses_table_tem8_with_images.xlsx
refutación,n,f,B2,1,,反驳；驳论,,La refutación ocupa el tercer párrafo del ensayo.,驳论占据文章第三段。,refutacion_1.jpg,考试路径|B2|n,专八,从句；条款,一致性；连贯严谨,调查,大创内容组_words_tem8.csv
refutar,v,n/a,B2,1,,反驳,,El autor intenta refutar la hipótesis rival con datos nuevos.,作者试图用新数据反驳对立假设。,refutar_1.jpg,考试路径|B2|v,专八,移民；迁徙,调解；和解,环境；语境环境,大创内容组_words_tem8.csv
registro académico,n,m,B2,1,,学术语体,,En el registro académico evitamos muletillas y preferimos conectores como «por consiguiente».,学术语体中我们避免口头禅，更偏好「因此」一类连接词。,registro_academico_1.jpg,考试路径|B2|n,专八,分化；区分,视角；观点,同音/同形异义词,大创内容组_senses_table_tem8_with_images.xlsx
reseña,n,f,B2,1,,书评；简介性评论,,"La reseña resume la trama sin spoilers y valora el ritmo, los personajes y el lenguaje.",书评概括情节但不剧透，并评价节奏、人物与语言。,resena_1.jpg,考试路径|B2|n,专八,评价；评估,相关；相关性,污名,大创内容组_senses_table_tem8_with_images.xlsx
semántica,n,f,B2,1,,语义学,,La semántica estudia el significado de las palabras y oraciones.,语义学研究词与句的意义。,semantica_1.jpg,考试路径|B2|n,专八,学术语体,说服；劝说,口译；解读,大创内容组_words_tem8.csv
